step,agents,prey,births,deaths,kills,energy_mean,energy_max,activity_mean,alive_edges_mean,generation_max,size_mean,speed_mean,force_mean,radius_mean,armor_mean,sense_mean,reward_mean,gain_mean,shape_speed_mean,shape_tool_mean,shape_guard_mean,shape_sense_mean,act_move_mean,act_tool_mean,act_pair_mean,act_rest_mean
250,26,48,0,29,17,34.968324051437776,171.2918839714326,0.5905011823544135,0.4023253532182104,0,1.0319961775909807,0.9399645355933116,1.0296928485791552,1.1801970528331471,0.39367149305521393,0.9003285654195351,-0.013063566658287142,0.0,0.22702571649390918,0.26921218973942673,0.244974843154733,0.2587872603191779,0.4167377999420067,0.4815775572119459,0.5558467018311591,0.5800214230708167
500,12,43,0,51,20,47.204751090294145,167.34195085588556,0.6119361271460851,0.4122023809523809,0,0.9925873804648866,0.9156374175964443,1.0180510693059894,1.0920441392843827,0.4285864679221966,1.0648518361433674,-0.014229405589709818,0.0,0.23763224172095457,0.2868587902436654,0.23015111995240053,0.24535784249504408,0.4196425543736661,0.45195212430041115,0.5135747594673157,0.5280464844287805
