step,agents,prey,births,deaths,kills,energy_mean,energy_max,activity_mean,alive_edges_mean,generation_max,size_mean,speed_mean,force_mean,radius_mean,armor_mean,sense_mean
200,28,48,1,28,11,37.09871168415237,156.92787422690654,0.6049620934895107,0.41745626822157433,0,1.098700792749023,0.9303897396086568,0.996417539844451,1.1829954989119555,0.38763005892585267,0.8938563274003026
400,12,51,1,50,15,38.29363375642962,89.43783009834823,0.5644365126887957,0.4129464285714286,0,1.095166490770357,0.9877728508381752,1.0413776210824828,1.1031768340613282,0.3763719849789246,0.9939715673612236
600,12,50,1,60,16,29.08070372575951,59.71307454691062,0.5521182095011076,0.4221938775510204,0,1.0985639501087354,0.8484749606048901,1.0351890132740251,1.1292608090592553,0.3770367887964135,1.056365588145084
800,12,53,1,72,18,32.77258547349226,60.0,0.5503450954953829,0.40454931972789115,0,1.1038269911155003,0.9993558090591826,0.9617322568090744,1.0165786531340866,0.37827814464462994,1.1358152363129355
1000,12,55,1,83,21,28.766363232072024,57.777311684069254,0.6353056877851486,0.42283163265306123,0,1.0499304630046398,1.0160484275778707,1.0395549940544844,1.0330012514637497,0.429718486114019,1.0648214935256746
