step,agents,prey,births,deaths,kills,energy_mean,energy_max,activity_mean,alive_edges_mean,generation_max,size_mean,speed_mean,force_mean,radius_mean,armor_mean,sense_mean,reward_mean,gain_mean,shape_speed_mean,shape_tool_mean,shape_guard_mean,shape_sense_mean,act_move_mean,act_tool_mean,act_pair_mean,act_rest_mean
400,20,71,12,68,33,49.76211241160698,179.19126273726198,0.6115765124559402,0.4133928571428571,1,1.0304639871789534,0.9327613167941908,1.0208108770199837,1.2074513416804915,0.3934306058804087,1.067945654731517,0.01113840676664024,0.5703281129531653,0.2481200959533453,0.23987191496416926,0.22653474900871515,0.2854732498526573,0.4591303161183662,0.5472820017181383,0.5179856606401917,0.5423115022375323
800,20,49,12,94,38,39.70598230184533,155.8093081760325,0.563829205185175,0.4066326530612245,0,0.9814768181054319,0.985127125547731,1.1362802619176313,1.1233534469601913,0.4295316402515022,1.105841768005953,-0.015227924503402138,0.0,0.19210835117846728,0.29017085675150156,0.2506790990009904,0.2670416973531246,0.4442853453525598,0.43669109736010603,0.46807887949452975,0.4733141758741298
1200,20,52,12,121,47,35.06158418200409,92.74049447105838,0.602336722612381,0.39968112244897963,0,1.0911497161668973,0.9652274940457796,1.0626998171695494,1.0866278356495591,0.3756703285732842,1.0121196875171894,-0.01481808435623685,0.0,0.2576788951642811,0.21675856783986092,0.26987396320328116,0.2556885750964284,0.505510865602174,0.5168463075540115,0.5796014195421385,0.6189442860956509
