task,model,step,train_loss,train_ce,expected_cost,entropy_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,w_graph,w_order,w_key,router_entropy,acc_program,w_graph_program,w_order_program,w_key_program,order_abs,key_entropy
program,always_typed,1,0.7407843470573425,0.7407843470573425,0.0,0.0,0.790795773267746,0.48828125,0.48828125,1,57066,2.34940767288208,0.889636754989624,0.33244505524635315,0.3337774872779846,0.3337774872779846,1.0,0.48828125,0.33244505524635315,0.3337774872779846,0.3337774872779846,,
program,always_typed,60,0.5018306374549866,0.5018306374549866,0.0,0.0,0.4857330173254013,0.7587890625,0.7587890625,60,57066,0.6661191582679749,15.105312824249268,0.31075459718704224,0.33096396923065186,0.3582814931869507,1.0,0.7587890625,0.31075459718704224,0.33096396923065186,0.3582814931869507,,
program,always_typed,120,0.3981858491897583,0.3981858491897583,0.0,0.0,0.3932851105928421,0.8125,0.8125,120,57066,0.6620115041732788,29.173457622528076,0.296438068151474,0.3372449278831482,0.3663170635700226,1.0,0.8125,0.296438068151474,0.3372449278831482,0.3663170635700226,,
program,always_typed,180,0.38455429673194885,0.38455429673194885,0.0,0.0,0.35573824495077133,0.81640625,0.81640625,180,57066,0.6161271333694458,43.15700101852417,0.288979709148407,0.3380219638347626,0.37299829721450806,1.0,0.81640625,0.288979709148407,0.3380219638347626,0.37299829721450806,,
program,cost_router,1,0.7345660328865051,0.6935052871704102,0.3113635182380676,0.9924389123916626,0.7000472992658615,0.5009765625,0.5009765625,1,61322,1.4920505285263062,0.5420372486114502,0.28209996223449707,0.2822188138961792,0.43568122386932373,0.977724015712738,0.5009765625,0.28245651721954346,0.2814662754535675,0.43607720732688904,0.40578579902648926,0.9999763369560242
program,cost_router,60,0.5035293698310852,0.46835851669311523,0.3494361340999603,0.02271939441561699,0.5227779150009155,0.7451171875,0.7451171875,60,61322,0.1966116577386856,14.515072584152222,0.0024947132915258408,0.0009431595681235194,0.996562123298645,0.022589124739170074,0.7451171875,0.002473127096891403,0.0009359344840049744,0.9965909719467163,0.4069446325302124,0.9996882081031799
program,cost_router,120,0.46831920742988586,0.4332505166530609,0.349872887134552,0.008140227757394314,0.4996107667684555,0.7685546875,0.7685546875,120,61322,0.5293112397193909,29.190902709960938,0.0006602711509913206,0.0003746862639673054,0.9989650249481201,0.007983853109180927,0.7685546875,0.0006466958438977599,0.00036725407699123025,0.9989860653877258,0.40464991331100464,0.9974666833877563
program,cost_router,180,0.39879199862480164,0.3637568950653076,0.3499515652656555,0.003994285594671965,0.42576780170202255,0.80078125,0.80078125,180,61322,0.2426064908504486,43.45650124549866,0.00028809596551582217,0.00018372145132161677,0.999528169631958,0.003975437022745609,0.80078125,0.0002846874704118818,0.00018179643666371703,0.999533474445343,0.40692177414894104,0.9914655089378357
