task,variant,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,order_abs,key_entropy,typed_scale
order,none,60,0.6928105354309082,0.6934825927019119,0.4877232142857143,0.5055803571428571,1,19971,1.0907679796218872,12.528818130493164,0.0,0.0,,,
order,learned_sparse,60,0.693853497505188,0.6931303590536118,0.5066964285714286,0.5122767857142857,1,22275,0.4311532974243164,12.333953142166138,0.1857638955116272,0.548904538154602,,,
order,learned_sparse_typed,60,0.029900740832090378,0.008039297186769545,0.9977678571428571,0.9977678571428571,60,57062,0.34375742077827454,12.5510413646698,0.1857638955116272,0.5489039421081543,0.2981714606285095,0.9999911785125732,0.7885913252830505
kv,none,60,0.694001317024231,0.6933309435844421,0.4955357142857143,0.5200892857142857,20,19971,0.4336683750152588,11.591472148895264,0.0,0.0,,,
kv,learned_sparse,60,0.6960581541061401,0.6812806874513626,0.5792410714285714,0.5792410714285714,60,22275,1.7079200744628906,12.566147089004517,0.1857638955116272,0.5488693118095398,,,
kv,learned_sparse_typed,60,0.1425454169511795,0.17611799016594887,0.9386160714285714,0.9386160714285714,60,57062,0.19865629076957703,12.936753034591675,0.1857638955116272,0.5489041209220886,0.2967805862426758,0.999518096446991,0.7952451705932617
