task,winner,winner_acc,none_acc,margin_vs_none
order,learned_sparse_typed,0.9977678571428571,0.5055803571428571,0.4921875
kv,learned_sparse_typed,0.9386160714285714,0.5200892857142857,0.4185267857142857
