task,variant,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,order_abs,key_entropy,typed_scale
order,none,1,1.1453020572662354,0.6931564658880234,0.5055803571428571,0.5055803571428571,1,19971,31.223079681396484,0.7470402717590332,0.0,0.0,,,
order,none,20,0.6936160326004028,0.6954411864280701,0.49441964285714285,0.5055803571428571,1,19971,1.7550777196884155,4.708083152770996,0.0,0.0,,,
order,none,40,0.688156008720398,0.7138236463069916,0.4877232142857143,0.5055803571428571,1,19971,0.059772856533527374,8.645235300064087,0.0,0.0,,,
order,none,60,0.6928105354309082,0.6934825927019119,0.4877232142857143,0.5055803571428571,1,19971,1.0907679796218872,12.528818130493164,0.0,0.0,,,
order,learned_sparse,1,0.7135175466537476,1.4000327587127686,0.5122767857142857,0.5122767857142857,1,22275,8.5231351852417,0.47199273109436035,0.1857638955116272,0.5489094257354736,,,
order,learned_sparse,20,0.7205989956855774,0.7201805412769318,0.45424107142857145,0.5122767857142857,1,22275,2.27714467048645,4.315103054046631,0.1857638955116272,0.5489057898521423,,,
order,learned_sparse,40,0.6938794851303101,0.6991715729236603,0.49441964285714285,0.5122767857142857,1,22275,0.605416476726532,8.423640489578247,0.1857638955116272,0.5489047765731812,,,
order,learned_sparse,60,0.693853497505188,0.6931303590536118,0.5066964285714286,0.5122767857142857,1,22275,0.4311532974243164,12.333953142166138,0.1857638955116272,0.548904538154602,,,
order,learned_sparse_typed,1,0.6823937296867371,1.7046708166599274,0.5066964285714286,0.5066964285714286,1,57062,2.670090436935425,0.4535200595855713,0.1857638955116272,0.5489099621772766,0.3016032576560974,0.9999952912330627,0.7624326944351196
order,learned_sparse_typed,20,0.20658569037914276,0.18540998548269272,0.9910714285714286,0.9910714285714286,20,57062,0.5886625647544861,4.291783571243286,0.1857638955116272,0.5489052534103394,0.3005472719669342,0.9999906420707703,0.7689007520675659
order,learned_sparse_typed,40,0.01085166446864605,0.015764632262289524,0.9944196428571429,0.9944196428571429,40,57062,0.16811281442642212,8.446139574050903,0.1857638955116272,0.5489040613174438,0.3032267689704895,0.9999905228614807,0.7835748195648193
order,learned_sparse_typed,60,0.029900740832090378,0.008039297186769545,0.9977678571428571,0.9977678571428571,60,57062,0.34375742077827454,12.5510413646698,0.1857638955116272,0.5489039421081543,0.2981714606285095,0.9999911785125732,0.7885913252830505
kv,none,1,0.7458752393722534,0.7975549101829529,0.49441964285714285,0.49441964285714285,1,19971,13.992676734924316,0.42461109161376953,0.0,0.0,,,
kv,none,20,0.695214569568634,0.6996849626302719,0.5200892857142857,0.5200892857142857,20,19971,1.9795763492584229,4.073563098907471,0.0,0.0,,,
kv,none,40,0.6929647326469421,0.6998975723981857,0.5078125,0.5200892857142857,20,19971,0.32928118109703064,7.847783803939819,0.0,0.0,,,
kv,none,60,0.694001317024231,0.6933309435844421,0.4955357142857143,0.5200892857142857,20,19971,0.4336683750152588,11.591472148895264,0.0,0.0,,,
kv,learned_sparse,1,0.736312747001648,1.1720062494277954,0.5044642857142857,0.5044642857142857,1,22275,8.39954948425293,0.42266368865966797,0.1857638955116272,0.5489098429679871,,,
kv,learned_sparse,20,0.6995862722396851,0.6997252404689789,0.49330357142857145,0.5044642857142857,1,22275,1.2339935302734375,4.345525741577148,0.1857638955116272,0.5489053130149841,,,
kv,learned_sparse,40,0.6879370212554932,0.6963668763637543,0.4810267857142857,0.5044642857142857,1,22275,0.3322596848011017,8.523868560791016,0.1857638955116272,0.5488994717597961,,,
kv,learned_sparse,60,0.6960581541061401,0.6812806874513626,0.5792410714285714,0.5792410714285714,60,22275,1.7079200744628906,12.566147089004517,0.1857638955116272,0.5488693118095398,,,
kv,learned_sparse_typed,1,0.7195945978164673,1.0507040619850159,0.5245535714285714,0.5245535714285714,1,57062,5.45269775390625,0.4575619697570801,0.1857638955116272,0.5489107966423035,0.3045762777328491,0.9999753832817078,0.7624328136444092
kv,learned_sparse_typed,20,0.4656422734260559,0.4582858756184578,0.796875,0.796875,20,57062,0.5893160104751587,4.456806421279907,0.1857638955116272,0.5489056706428528,0.29932069778442383,0.9999498128890991,0.7706735134124756
kv,learned_sparse_typed,40,0.3180578649044037,0.2510812319815159,0.8850446428571429,0.8850446428571429,40,57062,0.8906850218772888,8.650020837783813,0.1857638955116272,0.548904299736023,0.30039840936660767,0.9998282790184021,0.7844242453575134
kv,learned_sparse_typed,60,0.1425454169511795,0.17611799016594887,0.9386160714285714,0.9386160714285714,60,57062,0.19865629076957703,12.936753034591675,0.1857638955116272,0.5489041209220886,0.2967805862426758,0.999518096446991,0.7952451705932617
