task,variant,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,order_abs,key_entropy,typed_scale
route,none,1,1.1029415130615234,0.6930081099271774,0.5087890625,0.5087890625,1,19971,29.32978057861328,0.7494857311248779,0.0,0.0,,,
route,none,25,0.700444221496582,0.7019690275192261,0.4716796875,0.5087890625,1,19971,1.6188933849334717,5.4492998123168945,0.0,0.0,,,
route,none,50,0.6992857456207275,0.6950208395719528,0.5185546875,0.5185546875,50,19971,1.0964974164962769,10.305703163146973,0.0,0.0,,,
route,none,75,0.6930031180381775,0.6986284404993057,0.48046875,0.5185546875,50,19971,0.2533385455608368,14.925516605377197,0.0,0.0,,,
route,none,100,0.6985029578208923,0.6939844191074371,0.4921875,0.5185546875,50,19971,1.0646334886550903,19.471757411956787,0.0,0.0,,,
route,learned_sparse,1,0.7409064173698425,1.4385667443275452,0.498046875,0.498046875,1,22275,13.56186294555664,0.4994847774505615,0.1857638955116272,0.5489093661308289,,,
route,learned_sparse,25,0.7057937979698181,0.7005878239870071,0.4658203125,0.498046875,1,22275,1.662368655204773,5.156355857849121,0.1857638955116272,0.548905074596405,,,
route,learned_sparse,50,0.6861085295677185,0.6986260414123535,0.5068359375,0.5068359375,50,22275,0.02902231551706791,10.023552656173706,0.1857638955116272,0.548896074295044,,,
route,learned_sparse,75,0.6725163459777832,0.6935469508171082,0.5234375,0.5234375,75,22275,0.10752863436937332,14.963370084762573,0.1857638955116272,0.5488510727882385,,,
route,learned_sparse,100,0.5246304869651794,0.5058149844408035,0.7607421875,0.7607421875,100,22275,11.62576675415039,19.786334991455078,0.1857638955116272,0.5487099289894104,,,
route,learned_sparse_typed,1,0.7262086868286133,1.7408388555049896,0.4912109375,0.4912109375,1,57062,8.432326316833496,0.468735933303833,0.1857638955116272,0.5489099621772766,0.32840046286582947,0.9999934434890747,0.7607528567314148
route,learned_sparse_typed,25,0.141231968998909,0.12766088545322418,0.98828125,0.98828125,25,57062,0.3921080231666565,5.229877233505249,0.1857638955116272,0.5489047169685364,0.3304167687892914,0.9999447464942932,0.7709906101226807
route,learned_sparse_typed,50,0.012195547111332417,0.012340756133198738,1.0,1.0,50,57062,0.0683882087469101,10.356547355651855,0.1857638955116272,0.5489036440849304,0.32973432540893555,0.9997847080230713,0.7890310287475586
route,learned_sparse_typed,75,0.0042044855654239655,0.004370316280983388,1.0,1.0,50,57062,0.027530133724212646,15.569478988647461,0.1857638955116272,0.5489034652709961,0.32982438802719116,0.9997223615646362,0.7965970039367676
route,learned_sparse_typed,100,0.002363016130402684,0.0022499495826195925,1.0,1.0,50,57062,0.018664473667740822,20.734599590301514,0.1857638955116272,0.5489033460617065,0.3269597291946411,0.9996949434280396,0.8003165125846863
order,none,1,0.7553932666778564,0.8040035963058472,0.4873046875,0.4873046875,1,19971,15.00110149383545,0.44222259521484375,0.0,0.0,,,
