task,variant,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,order_abs,key_entropy,typed_scale
route,none,100,0.6985029578208923,0.6939844191074371,0.4921875,0.5185546875,50,19971,1.0646334886550903,19.471757411956787,0.0,0.0,,,
route,learned_sparse,100,0.5246304869651794,0.5058149844408035,0.7607421875,0.7607421875,100,22275,11.62576675415039,19.786334991455078,0.1857638955116272,0.5487099289894104,,,
route,learned_sparse_typed,100,0.002363016130402684,0.0022499495826195925,1.0,1.0,50,57062,0.018664473667740822,20.734599590301514,0.1857638955116272,0.5489033460617065,0.3269597291946411,0.9996949434280396,0.8003165125846863
order,none,100,0.6928581595420837,0.693399116396904,0.4951171875,0.5185546875,25,19971,0.20044748485088348,18.82249164581299,0.0,0.0,,,
order,learned_sparse,100,0.6934038996696472,0.6948401629924774,0.478515625,0.525390625,25,22275,0.2993008494377136,20.216466426849365,0.1857638955116272,0.5489037036895752,,,
order,learned_sparse_typed,100,0.002305584028363228,0.0054061837727203965,0.9990234375,0.9990234375,100,57062,0.03907950595021248,20.648698091506958,0.1857638955116272,0.5489041805267334,0.3015825152397156,0.999996542930603,0.7879020571708679
kv,none,100,0.6950759291648865,0.693054661154747,0.5068359375,0.5107421875,1,19971,0.6309328079223633,19.520021677017212,0.0,0.0,,,
kv,learned_sparse,100,0.7302218079566956,0.6028073877096176,0.666015625,0.666015625,100,22275,9.606043815612793,20.902607202529907,0.1857638955116272,0.5486394762992859,,,
kv,learned_sparse_typed,100,0.015172957442700863,0.012816806556656957,0.9990234375,0.9990234375,100,57062,0.16860707104206085,21.231189966201782,0.1857638955116272,0.5489044785499573,0.29698115587234497,0.998227059841156,0.8254870176315308
