step,loss,loss_policy,loss_shared,loss_adapter,loss_task,loss_contrast,reg_shared,reg_adapter,balance_loss,task_entropy,channel_entropy,connection_cost,survival_weight_mean,hunger_mean,death_events,reward_mean,energy_mean,energy_max,food_alive,births,deaths,contact_events,transfer_mean,drain_mean,shape_speed,shape_tool,shape_guard,shape_sense,wave_mean,bend_mean,speed_mean,stretch_error,segments,alive_edges,edge_density,struct_changed,adapter_abs,state_abs,p_forage,p_avoid,p_pair,p_rest,w_graph,w_order,w_key,order_abs,key_entropy,cpg_scale,sec
1,0.28680041432380676,0.21545705199241638,0.15959781408309937,0.15959781408309937,1.3918155431747437,-0.0,0.0009275572374463081,0.0009275572374463081,0.0,1.3862428665161133,1.0957441329956055,0.49989208579063416,1.3068181276321411,0.20454543828964233,0,-0.008553886786103249,69.91445922851562,69.920654296875,8,0,0,0,0.0,0.0,0.2638602554798126,0.21362920105457306,0.2513938546180725,0.271116703748703,0.3918304741382599,0.1513596475124359,0.3937561810016632,1.0520219802856445e-05,7,180,0.1814516129032258,0,0.016339074820280075,0.045396286994218826,0.24873286485671997,0.24787315726280212,0.24905472993850708,0.2543392777442932,0.3692690134048462,0.31720781326293945,0.31352317333221436,0.0,0.9993603229522705,0.1973753273487091,0.6356143951416016
2,0.2471117079257965,0.1886894255876541,0.13976994156837463,0.13976994156837463,1.1344748735427856,-0.0,0.0008878890657797456,0.0008878890657797456,0.0,1.3731095790863037,1.0956405401229858,0.49942395091056824,1.3082761764526367,0.2055174708366394,0,-0.00841908436268568,69.83027648925781,69.84215545654297,8,0,0,0,0.0,0.0,0.25280535221099854,0.225984126329422,0.2326466143131256,0.28856390714645386,0.34167563915252686,0.14197568595409393,0.3513152003288269,1.0181218385696411e-05,7,180,0.1814516129032258,0,0.016648320481181145,0.08616162836551666,0.3221376836299896,0.22165176272392273,0.22937177121639252,0.22683876752853394,0.3699450194835663,0.31357842683792114,0.31647658348083496,0.02786725014448166,0.9953441023826599,0.19929660856723785,0.8215198516845703
3,0.19940580427646637,0.15386658906936646,0.11397525668144226,0.11397525668144226,0.878145694732666,-0.0,0.0008388877031393349,0.0008388877031393349,0.0,1.319325566291809,1.0953346490859985,0.49896448850631714,1.309711217880249,0.2064741849899292,0,-0.008396363817155361,69.74630737304688,69.76493835449219,8,0,0,0,0.0,0.0,0.22946569323539734,0.22034141421318054,0.22975748777389526,0.32043543457984924,0.31232786178588867,0.14113116264343262,0.33440643548965454,1.1293838724668603e-05,7,180,0.1814516129032258,0,0.017071396112442017,0.12159720808267593,0.4171557128429413,0.18680734932422638,0.20317958295345306,0.19285735487937927,0.37121689319610596,0.30865365266799927,0.32012939453125,0.04137140139937401,0.9937582015991211,0.20121890306472778,0.9472522735595703
