step,loss,loss_policy,loss_shared,loss_adapter,loss_task,balance_loss,task_entropy,channel_entropy,connection_cost,survival_weight_mean,hunger_mean,death_events,reward_mean,energy_mean,energy_max,food_alive,births,deaths,contact_events,transfer_mean,shape_speed,shape_tool,shape_guard,shape_sense,wave_mean,bend_mean,speed_mean,stretch_error,segments,alive_edges,edge_density,struct_changed,adapter_abs,p_forage,p_avoid,p_pair,p_rest,w_graph,w_order,w_key,order_abs,key_entropy,sec
1,0.2457391768693924,0.17159436643123627,0.1271069347858429,0.1271069347858429,1.453116774559021,0.0,1.384927749633789,1.0960478782653809,0.49964120984077454,1.0,0.0,0,-0.0034935534931719303,69.9650650024414,75.0401611328125,62,0,0,20,0.16204005479812622,0.251703143119812,0.23444728553295135,0.25205880403518677,0.26179078221321106,0.5118567943572998,0.020057640969753265,0.5462990999221802,9.13720577955246e-06,7,1903,0.11706446850393701,0,0.016039857640862465,0.23398086428642273,0.252231627702713,0.26975131034851074,0.2440362274646759,0.3672596216201782,0.31857579946517944,0.31416454911231995,0.000831604702398181,0.9999994039535522,1.316502571105957
2,0.13067889213562012,0.09123030304908752,0.06757800281047821,0.06757800281047821,0.7627424001693726,0.0,1.2750399112701416,1.0949124097824097,0.49923834204673767,1.0,0.0,0,-0.0019448846578598022,69.94561767578125,77.14767456054688,59,0,0,24,0.21401360630989075,0.16949038207530975,0.4362952709197998,0.16225484013557434,0.2319594919681549,0.3230963945388794,0.07157303392887115,0.378423810005188,9.003560990095139e-06,7,1903,0.11706446850393701,0,0.016252491623163223,0.46746885776519775,0.17002102732658386,0.19326065480709076,0.16924944519996643,0.37328770756721497,0.3059775233268738,0.32073476910591125,0.0008303675567731261,0.9999995231628418,2.1848204135894775
3,0.08666545152664185,0.0719137042760849,0.0532694086432457,0.0532694086432457,0.27015653252601624,0.0,0.8024836182594299,1.0922266244888306,0.49883532524108887,1.0,0.0,0,0.0037399621214717627,69.98301696777344,77.87593841552734,55,0,0,25,0.13013911247253418,0.07605275511741638,0.5435578227043152,0.0987643152475357,0.28162509202957153,0.15991362929344177,0.1608767956495285,0.16134113073349,9.450441211811267e-06,7,1903,0.11706446850393701,0,0.01648319885134697,0.7651000618934631,0.07331174612045288,0.08694638311862946,0.07464182376861572,0.38176798820495605,0.2896852493286133,0.32854676246643066,0.0008327309624291956,0.9999995231628418,3.066650390625
4,0.07851049304008484,0.0729164108633995,0.05401215702295303,0.05401215702295303,0.05000600963830948,0.09200296550989151,0.2466801106929779,1.089918613433838,0.49843257665634155,1.0,0.0,0,-0.008636364713311195,69.89665222167969,77.79035186767578,56,0,0,24,0.07246178388595581,0.07099126279354095,0.44806593656539917,0.11623048782348633,0.36471232771873474,0.1596456617116928,0.23452289402484894,0.14388614892959595,9.425915777683258e-06,7,1903,0.11706446850393701,0,0.016739245504140854,0.9516185522079468,0.014944718219339848,0.018180416896939278,0.015256276354193687,0.38682061433792114,0.27942711114883423,0.333752304315567,0.0008350626449100673,0.9999995231628418,3.9347517490386963
5,0.0766286700963974,0.07011942565441132,0.05194031447172165,0.05194031447172165,0.007512134034186602,0.2479039430618286,0.052100494503974915,1.0894445180892944,0.49802377820014954,1.0,0.0,0,-0.008839547634124756,69.80825805664062,77.70631408691406,57,0,0,23,0.059778809547424316,0.09616171568632126,0.4090942144393921,0.1566164791584015,0.33812761306762695,0.19383370876312256,0.21225452423095703,0.18200978636741638,9.106783181778155e-06,7,1903,0.11706446850393701,0,0.017026135697960854,0.9925457835197449,0.0023053428158164024,0.002819191664457321,0.002329672686755657,0.3874453902244568,0.27734237909317017,0.33521223068237305,0.0008356940234079957,0.9999995231628418,4.810617208480835
