task,model,step,train_loss,train_ce,expected_cost,entropy_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,acc_route,w_graph_route,w_order_route,w_key_route,acc_order,w_graph_order,w_order_order,w_key_order,acc_kv,w_graph_kv,w_order_kv,w_key_kv,acc_program,w_graph_program,w_order_program,w_key_program,w_graph,w_order,w_key,router_entropy,order_abs,key_entropy
mixed,graph,240,0.5298805832862854,0.5298805832862854,0.0,0.0,0.5181499272584915,0.69921875,0.69921875,240,22275,1.1602247953414917,60.95211338996887,0.1857638955116272,0.5482637882232666,0.89453125,0.0,0.0,0.0,0.484375,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.73046875,0.0,0.0,0.0,,,,,,
mixed,always_typed,240,0.11366778612136841,0.11366778612136841,0.0,0.0,0.11117357015609741,0.9501953125,0.9599609375,120,57066,0.3252665400505066,60.53310251235962,,,1.0,0.2568487823009491,0.37049007415771484,0.37266114354133606,1.0,0.2568487823009491,0.37049007415771484,0.37266114354133606,1.0,0.2568487823009491,0.37049007415771484,0.37266114354133606,0.80078125,0.2568487823009491,0.37049007415771484,0.37266114354133606,0.2568487823009491,0.37049007415771484,0.37266117334365845,1.0,,
mixed,cost_router,240,0.09378763288259506,0.08013751357793808,0.4540887773036957,0.4568347632884979,0.10306809097528458,0.9541015625,0.9541015625,240,61322,0.21388907730579376,60.171074867248535,,,1.0,0.001309070154093206,0.39138293266296387,0.607308030128479,1.0,0.001477140816859901,0.9947314262390137,0.0037914367858320475,1.0,0.008647910319268703,0.2531311511993408,0.7382209897041321,0.81640625,0.06987264752388,0.4726942777633667,0.4574330449104309,0.020559150725603104,0.5347630977630615,0.44467777013778687,0.4425239562988281,0.3177896738052368,0.9963513612747192
mixed,cost_router_hard,240,0.14596940577030182,0.13730274140834808,0.4333333373069763,5.0159574271901874e-08,0.13278956525027752,0.9482421875,0.9482421875,240,61322,0.2032475620508194,60.964597940444946,,,0.99609375,0.005345791112631559,0.21872058510780334,0.7759336233139038,1.0,0.0029500413220375776,0.984770655632019,0.012279371730983257,1.0,0.018620871007442474,0.13364964723587036,0.8477294445037842,0.796875,0.31561630964279175,0.19206085801124573,0.4923228323459625,0.0816233828663826,0.37768709659576416,0.5406895279884338,0.3732997179031372,0.3220522403717041,0.9931678175926208
