task,model,step,train_loss,train_ce,expected_cost,entropy_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,acc_route,w_graph_route,w_order_route,w_key_route,acc_order,w_graph_order,w_order_order,w_key_order,acc_kv,w_graph_kv,w_order_kv,w_key_kv,acc_program,w_graph_program,w_order_program,w_key_program,w_graph,w_order,w_key,router_entropy,order_abs,key_entropy
mixed,graph,1,0.915354311466217,0.915354311466217,0.0,0.0,0.794232502579689,0.51953125,0.51953125,1,22275,13.438570976257324,0.9947507381439209,0.1857638955116272,0.5489106178283691,0.49609375,0.0,0.0,0.0,0.515625,0.0,0.0,0.0,0.515625,0.0,0.0,0.0,0.55078125,0.0,0.0,0.0,,,,,,
mixed,graph,40,0.692108154296875,0.692108154296875,0.0,0.0,0.6954219341278076,0.4814453125,0.51953125,1,22275,0.4229359030723572,10.78948163986206,0.1857638955116272,0.5489041209220886,0.48828125,0.0,0.0,0.0,0.4765625,0.0,0.0,0.0,0.45703125,0.0,0.0,0.0,0.50390625,0.0,0.0,0.0,,,,,,
mixed,graph,80,0.6721954941749573,0.6721954941749573,0.0,0.0,0.7065581828355789,0.4931640625,0.51953125,1,22275,0.5369487404823303,20.632097005844116,0.1857638955116272,0.5488201379776001,0.46484375,0.0,0.0,0.0,0.49609375,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.48046875,0.0,0.0,0.0,,,,,,
mixed,graph,120,0.7033180594444275,0.7033180594444275,0.0,0.0,0.5972534269094467,0.640625,0.640625,120,22275,8.75544548034668,30.56452441215515,0.1857638955116272,0.5485188961029053,0.7265625,0.0,0.0,0.0,0.5078125,0.0,0.0,0.0,0.66015625,0.0,0.0,0.0,0.66796875,0.0,0.0,0.0,,,,,,
mixed,graph,160,0.5150282382965088,0.5150282382965088,0.0,0.0,0.5632687211036682,0.6376953125,0.640625,120,22275,0.31267696619033813,40.71017599105835,0.1857638955116272,0.5483359098434448,0.7265625,0.0,0.0,0.0,0.46484375,0.0,0.0,0.0,0.71875,0.0,0.0,0.0,0.640625,0.0,0.0,0.0,,,,,,
mixed,graph,200,0.5258368253707886,0.5258368253707886,0.0,0.0,0.5480444133281708,0.6845703125,0.6845703125,200,22275,2.115994930267334,50.81316351890564,0.1857638955116272,0.5482972860336304,0.83984375,0.0,0.0,0.0,0.47265625,0.0,0.0,0.0,0.7109375,0.0,0.0,0.0,0.71484375,0.0,0.0,0.0,,,,,,
mixed,graph,240,0.5298805832862854,0.5298805832862854,0.0,0.0,0.5181499272584915,0.69921875,0.69921875,240,22275,1.1602247953414917,60.95211338996887,0.1857638955116272,0.5482637882232666,0.89453125,0.0,0.0,0.0,0.484375,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.73046875,0.0,0.0,0.0,,,,,,
mixed,always_typed,1,0.7212710380554199,0.7212710380554199,0.0,0.0,0.7441542595624924,0.5205078125,0.5205078125,1,57066,2.0972862243652344,0.639502763748169,,,0.51953125,0.33377745747566223,0.33377745747566223,0.33244508504867554,0.48828125,0.33377745747566223,0.33377745747566223,0.33244508504867554,0.515625,0.33377745747566223,0.33377745747566223,0.33244508504867554,0.55859375,0.33377745747566223,0.33377745747566223,0.33244508504867554,0.3337774872779846,0.33377745747566223,0.33244505524635315,1.0,,
mixed,always_typed,40,0.3777144253253937,0.3777144253253937,0.0,0.0,0.3363012224435806,0.859375,0.859375,40,57066,0.40623030066490173,10.670862913131714,,,0.9453125,0.3099972605705261,0.3437976539134979,0.34620508551597595,0.96875,0.3099972605705261,0.3437976539134979,0.34620508551597595,0.81640625,0.3099972605705261,0.3437976539134979,0.34620508551597595,0.70703125,0.3099972605705261,0.3437976539134979,0.34620508551597595,0.3099972903728485,0.34379762411117554,0.34620505571365356,1.0,,
mixed,always_typed,80,0.22141945362091064,0.22141945362091064,0.0,0.0,0.20762745290994644,0.9130859375,0.9130859375,80,57066,0.2735421657562256,21.172510147094727,,,0.99609375,0.2912557125091553,0.3532714545726776,0.3554728925228119,0.98046875,0.2912557125091553,0.3532714545726776,0.3554728925228119,0.89453125,0.2912557125091553,0.3532714545726776,0.3554728925228119,0.78125,0.2912557125091553,0.3532714545726776,0.3554728925228119,0.2912557125091553,0.3532714545726776,0.3554728627204895,1.0,,
