task,model,step,train_loss,train_ce,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,acc_route,w_graph_route,w_order_route,w_key_route,acc_order,w_graph_order,w_order_order,w_key_order,acc_kv,w_graph_kv,w_order_kv,w_key_kv,w_graph,w_order,w_key,router_entropy,order_abs,key_entropy,base_edge_density,base_edge_entropy
mixed,graph,1,0.9149570465087891,0.9149570465087891,0.8533735573291779,0.51171875,0.51171875,1,22275,16.761777877807617,1.0925960540771484,0.1857638955116272,0.5489105582237244,0.49609375,0.0,0.0,0.0,0.4765625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,,,,,,,,
mixed,graph,20,0.7200033664703369,0.7200033664703369,0.7129631489515305,0.48828125,0.51171875,1,22275,2.2851762771606445,5.632450819015503,0.1857638955116272,0.5489080548286438,0.53125,0.0,0.0,0.0,0.46484375,0.0,0.0,0.0,0.46875,0.0,0.0,0.0,,,,,,,,
mixed,graph,40,0.6910302042961121,0.6910302042961121,0.6904411166906357,0.53515625,0.53515625,40,22275,0.04724309593439102,9.837204456329346,0.1857638955116272,0.5489047169685364,0.56640625,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.5078125,0.0,0.0,0.0,,,,,,,,
mixed,always_typed,1,0.7092189192771912,0.7092189192771912,0.7836946845054626,0.4986979166666667,0.4986979166666667,1,57066,1.7802766561508179,0.566784143447876,,,0.49609375,0.33422282338142395,0.3328886032104492,0.3328886032104492,0.51171875,0.33422282338142395,0.3328886032104492,0.3328886032104492,0.48828125,0.33422282338142395,0.3328886032104492,0.3328886032104492,0.33422282338142395,0.3328886032104492,0.3328886032104492,1.0,0.3116915822029114,0.9999879598617554,,
mixed,always_typed,20,0.5345461964607239,0.5345461964607239,0.506194643676281,0.84765625,0.84765625,20,57066,0.43409594893455505,5.023353815078735,,,0.94140625,0.32473182678222656,0.3384217619895935,0.33684641122817993,0.90625,0.32473182678222656,0.3384217619895935,0.33684641122817993,0.6953125,0.32473182678222656,0.3384217619895935,0.33684641122817993,0.32473182678222656,0.33842170238494873,0.3368464708328247,1.0,0.31113263964653015,0.9999908804893494,,
mixed,always_typed,40,0.29370781779289246,0.29370781779289246,0.25355760380625725,0.8997395833333334,0.8997395833333334,40,57066,0.32473376393318176,9.682294130325317,,,0.93359375,0.3086881935596466,0.3481985628604889,0.3431132733821869,0.97265625,0.3086881935596466,0.3481985628604889,0.3431132733821869,0.79296875,0.3086881935596466,0.3481985628604889,0.3431132733821869,0.308688223361969,0.3481985926628113,0.3431132137775421,1.0,0.31053730845451355,0.9999663829803467,,
mixed,router,1,0.7075464725494385,0.6977670788764954,0.7317092269659042,0.4908854166666667,0.4908854166666667,1,60490,1.652143955230713,0.5027725696563721,,,0.48828125,0.36022213101387024,0.2644456923007965,0.37533217668533325,0.4765625,0.3818904757499695,0.28619349002838135,0.33191603422164917,0.5078125,0.24878481030464172,0.26611828804016113,0.48509693145751953,0.32914960384368896,0.2717701196670532,0.3990803360939026,0.9752710461616516,0.3133304715156555,0.9999921917915344,0.1857638955116272,0.5489100813865662
mixed,router,20,0.3599635362625122,0.3538144826889038,0.3292584791779518,0.8919270833333334,0.8919270833333334,20,60490,0.43712717294692993,5.426150798797607,,,0.97265625,0.042846839874982834,0.2255687117576599,0.7315844297409058,0.96484375,0.08512992411851883,0.6373392939567566,0.2775307893753052,0.73828125,0.034268490970134735,0.11745575815439224,0.8482757210731506,0.05435558408498764,0.32673123478889465,0.6189132928848267,0.6243937611579895,0.30653366446495056,0.9999837875366211,0.1857638955116272,0.5489065647125244
mixed,router,40,0.21226604282855988,0.20665572583675385,0.2141340784728527,0.9088541666666666,0.9088541666666666,40,60490,0.32797756791114807,10.806629419326782,,,0.953125,0.022124962881207466,0.2273232489824295,0.7505518198013306,0.98046875,0.03532806783914566,0.86154705286026,0.10312486439943314,0.79296875,0.045519862323999405,0.28251373767852783,0.6719663739204407,0.03502504155039787,0.4596483111381531,0.5053267478942871,0.5727918744087219,0.3087220788002014,0.999945342540741,0.1857638955116272,0.5489054918289185
