task,model,step,train_loss,train_ce,expected_cost,entropy_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,w_graph,w_order,w_key,router_entropy,acc_program,w_graph_program,w_order_program,w_key_program,order_abs,key_entropy
program,always_typed,1,0.7407843470573425,0.7407843470573425,0.0,0.0,0.790795773267746,0.48828125,0.48828125,1,57066,2.34940767288208,0.9381911754608154,0.33244505524635315,0.3337774872779846,0.3337774872779846,1.0,0.48828125,0.33244505524635315,0.3337774872779846,0.3337774872779846,,
program,always_typed,60,0.5018306374549866,0.5018306374549866,0.0,0.0,0.4857330173254013,0.7587890625,0.7587890625,60,57066,0.6661191582679749,15.30194616317749,0.31075459718704224,0.33096396923065186,0.3582814931869507,1.0,0.7587890625,0.31075459718704224,0.33096396923065186,0.3582814931869507,,
program,always_typed,120,0.3981858491897583,0.3981858491897583,0.0,0.0,0.3932851105928421,0.8125,0.8125,120,57066,0.6620115041732788,30.03815460205078,0.296438068151474,0.3372449278831482,0.3663170635700226,1.0,0.8125,0.296438068151474,0.3372449278831482,0.3663170635700226,,
program,always_typed,180,0.38455429673194885,0.38455429673194885,0.0,0.0,0.35573824495077133,0.81640625,0.81640625,180,57066,0.6161271333694458,45.124279737472534,0.288979709148407,0.3380219638347626,0.37299829721450806,1.0,0.81640625,0.288979709148407,0.3380219638347626,0.37299829721450806,,
program,cost_router,1,0.7034296989440918,0.6935052871704102,0.3113635182380676,0.9924389123916626,0.7003153711557388,0.5009765625,0.5009765625,1,61322,1.4936835765838623,0.54964280128479,0.27365705370903015,0.30024951696395874,0.4260934591293335,0.9808721542358398,0.5009765625,0.2740004062652588,0.2994723320007324,0.4265272319316864,0.40578579902648926,0.9999763369560242
program,cost_router,60,0.46749693155288696,0.46677228808403015,0.3519313335418701,0.07246553152799606,0.5208633244037628,0.7470703125,0.7470703125,60,61322,0.19339831173419952,14.696312665939331,0.00196651229634881,0.014333134517073631,0.9837003946304321,0.08019451797008514,0.7470703125,0.0019460818730294704,0.014170948415994644,0.9838829040527344,0.4069446325302124,0.9996894001960754
program,cost_router,120,0.39687639474868774,0.39098331332206726,0.41188329458236694,0.5893093943595886,0.4492167979478836,0.796875,0.796875,120,61322,0.7468406558036804,29.246692180633545,0.004301310982555151,0.3115695118904114,0.6841291785240173,0.585319995880127,0.796875,0.004230262245982885,0.3100411891937256,0.6857285499572754,0.40464991331100464,0.9980326890945435
program,cost_router,180,0.3305988609790802,0.32493072748184204,0.4074885845184326,0.5668140649795532,0.38587697595357895,0.8154296875,0.8154296875,180,61322,0.25251269340515137,43.43618178367615,0.0033599846065044403,0.2950831651687622,0.7015568017959595,0.5689182877540588,0.8154296875,0.0033556323032826185,0.2940215468406677,0.7026227712631226,0.40692177414894104,0.9959316849708557
