task,model,step,train_loss,train_ce,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,task_loss,graph_cost,task_entropy,balance,memory_waste,w_graph,w_order,w_key,router_entropy,acc_route,taskp_route_route,taskp_order_route,taskp_kv_route,taskp_program_route,w_graph_route,w_order_route,w_key_route,acc_order,taskp_route_order,taskp_order_order,taskp_kv_order,taskp_program_order,w_graph_order,w_order_order,w_key_order,acc_kv,taskp_route_kv,taskp_order_kv,taskp_kv_kv,taskp_program_kv,w_graph_kv,w_order_kv,w_key_kv,acc_program,taskp_route_program,taskp_order_program,taskp_kv_program,taskp_program_program,w_graph_program,w_order_program,w_key_program,task_p_route,task_p_order,task_p_kv,task_p_program,order_abs,key_entropy,graph_gate_route,graph_gate_order,graph_gate_kv,graph_gate_program,edge_util_route,edge_util_order,edge_util_kv,edge_util_program
mixed,always_typed,1,0.7342562079429626,0.7342562079429626,0.7383095324039459,0.51953125,0.51953125,1,57066,1.7982687950134277,0.9718978404998779,0.0,0.0,0.0,0.0,0.0,0.33244505524635315,0.3337774872779846,0.3337774872779846,1.0,0.49609375,0.0,0.0,0.0,0.0,0.33244508504867554,0.33377745747566223,0.33377745747566223,0.515625,0.0,0.0,0.0,0.0,0.33244508504867554,0.33377745747566223,0.33377745747566223,0.515625,0.0,0.0,0.0,0.0,0.33244508504867554,0.33377745747566223,0.33377745747566223,0.55078125,0.0,0.0,0.0,0.0,0.33244508504867554,0.33377745747566223,0.33377745747566223,,,,,,,,,,,,,,
mixed,always_typed,40,0.324556827545166,0.324556827545166,0.3218315616250038,0.873046875,0.873046875,40,57066,0.5237281322479248,10.550063848495483,0.0,0.0,0.0,0.0,0.0,0.30195674300193787,0.3496898114681244,0.34835344552993774,1.0,0.93359375,0.0,0.0,0.0,0.0,0.3019567131996155,0.3496898114681244,0.34835341572761536,0.9765625,0.0,0.0,0.0,0.0,0.3019567131996155,0.3496898114681244,0.34835341572761536,0.8203125,0.0,0.0,0.0,0.0,0.3019567131996155,0.3496898114681244,0.34835341572761536,0.76171875,0.0,0.0,0.0,0.0,0.3019567131996155,0.3496898114681244,0.34835341572761536,,,,,,,,,,,,,,
mixed,always_typed,80,0.18492895364761353,0.18492895364761353,0.19089509546756744,0.9130859375,0.9130859375,80,57066,0.2795809507369995,20.538931608200073,0.0,0.0,0.0,0.0,0.0,0.2812032401561737,0.3607036769390106,0.3580930829048157,1.0,0.98828125,0.0,0.0,0.0,0.0,0.2812032401561737,0.36070361733436584,0.35809311270713806,0.98828125,0.0,0.0,0.0,0.0,0.2812032401561737,0.36070361733436584,0.35809311270713806,0.91015625,0.0,0.0,0.0,0.0,0.2812032401561737,0.36070361733436584,0.35809311270713806,0.765625,0.0,0.0,0.0,0.0,0.2812032401561737,0.36070361733436584,0.35809311270713806,,,,,,,,,,,,,,
mixed,always_typed,120,0.13675491511821747,0.13675491511821747,0.15434691682457924,0.9384765625,0.9384765625,120,57066,0.4330258369445801,30.37366271018982,0.0,0.0,0.0,0.0,0.0,0.2664126753807068,0.3699001967906952,0.36368709802627563,1.0,0.99609375,0.0,0.0,0.0,0.0,0.2664127051830292,0.3699001967906952,0.36368706822395325,1.0,0.0,0.0,0.0,0.0,0.2664127051830292,0.3699001967906952,0.36368706822395325,0.99609375,0.0,0.0,0.0,0.0,0.2664127051830292,0.3699001967906952,0.36368706822395325,0.76171875,0.0,0.0,0.0,0.0,0.2664127051830292,0.3699001967906952,0.36368706822395325,,,,,,,,,,,,,,
mixed,always_typed,160,0.09407225996255875,0.09407225996255875,0.11465388350188732,0.951171875,0.951171875,160,57066,0.18173560500144958,40.36504006385803,0.0,0.0,0.0,0.0,0.0,0.2577624022960663,0.3760105073451996,0.36622709035873413,1.0,1.0,0.0,0.0,0.0,0.0,0.2577624022960663,0.3760104477405548,0.3662271201610565,1.0,0.0,0.0,0.0,0.0,0.2577624022960663,0.3760104477405548,0.3662271201610565,1.0,0.0,0.0,0.0,0.0,0.2577624022960663,0.3760104477405548,0.3662271201610565,0.8046875,0.0,0.0,0.0,0.0,0.2577624022960663,0.3760104477405548,0.3662271201610565,,,,,,,,,,,,,,
mixed,task_moe_msgutil,1,0.7346245646476746,0.6959415078163147,0.7146527618169785,0.5146484375,0.5146484375,1,70571,0.9422525763511658,0.7883932590484619,0.19990788400173187,0.5,0.9853386282920837,0.0019743870943784714,0.37349817156791687,0.23426881432533264,0.3818308115005493,0.38390037417411804,,0.484375,0.23967942595481873,0.28306031227111816,0.2791104316711426,0.19814981520175934,0.2177756130695343,0.40975621342658997,0.3724682033061981,0.51953125,0.28457412123680115,0.26050060987472534,0.25824055075645447,0.19668476283550262,0.24920187890529633,0.3901521563529968,0.36064594984054565,0.51953125,0.28840574622154236,0.228145569562912,0.31178018450737,0.17166852951049805,0.25188401341438293,0.3581894636154175,0.389926552772522,0.53515625,0.24735794961452484,0.23787669837474823,0.34305423498153687,0.17171113193035126,0.2231505662202835,0.3675529360771179,0.4092964828014374,0.263241171836853,0.25284478068351746,0.29938310384750366,0.18453095853328705,0.32273346185684204,0.9999893307685852,0.09278934448957443,0.09278938919305801,0.09278934448957443,0.09278950840234756,0.0,0.0,0.0,0.0
mixed,task_moe_msgutil,40,0.33752942085266113,0.30830422043800354,0.34056760370731354,0.841796875,0.841796875,40,70571,0.23780199885368347,10.420759677886963,0.11856185644865036,0.4810113310813904,0.5632400512695312,0.016715744510293007,0.4572087228298187,0.06969054043292999,0.4720117151737213,0.4582977592945099,,0.953125,0.025079794228076935,0.14332465827465057,0.5345795154571533,0.29701608419418335,0.06755585968494415,0.34534433484077454,0.5870997905731201,0.984375,0.005654009524732828,0.9544557332992554,0.017363600432872772,0.02252667397260666,0.05395781248807907,0.8723170757293701,0.07372510433197021,0.7734375,0.046621985733509064,0.04245961084961891,0.5321323275566101,0.3787861466407776,0.08263538777828217,0.293149471282959,0.6242151260375977,0.65625,0.03411836177110672,0.039532605558633804,0.2569481134414673,0.6694009304046631,0.07388285547494888,0.3787637948989868,0.5473533272743225,0.028129346668720245,0.2944160997867584,0.3354341983795166,0.34202033281326294,0.3241691589355469,0.9999308586120605,0.09034973382949829,0.08893544226884842,0.08904533833265305,0.08901075273752213,4.15584213364021e-14,4.4124204073500706e-13,5.037815325494022e-13,5.107301300627531e-13
mixed,task_moe_msgutil,80,0.21428491175174713,0.18693886697292328,0.20147569105029106,0.9013671875,0.9013671875,80,70571,0.3939674198627472,20.26835322380066,0.11462472379207611,0.45858579874038696,0.43256446719169617,0.020225591957569122,0.41034698486328125,0.062437139451503754,0.5282560586929321,0.4093068540096283,,0.9921875,0.012353400699794292,0.3928048312664032,0.5686690807342529,0.026172669604420662,0.058647383004426956,0.45183777809143066,0.48951488733291626,0.9921875,0.001185024855658412,0.9916258454322815,0.005098483059555292,0.0020906529389321804,0.05082952231168747,0.8942873477935791,0.05488315969705582,0.86328125,0.03289566561579704,0.16017861664295197,0.6220451593399048,0.1848805844783783,0.07302696257829666,0.3239533305168152,0.6030197143554688,0.7578125,0.024942658841609955,0.07236813008785248,0.08521032333374023,0.8174788951873779,0.06745985895395279,0.4482726454734802,0.48426753282546997,0.017767345532774925,0.4019320011138916,0.3213160037994385,0.25898462533950806,0.32117462158203125,0.9997187852859497,0.08869588375091553,0.08452240377664566,0.08572586625814438,0.08412749320268631,8.931827581151394e-14,1.1557891145888566e-12,1.084350708183135e-12,1.0925466260858219e-12
mixed,task_moe_msgutil,120,0.17324644327163696,0.14646460115909576,0.14221070893108845,0.943359375,0.943359375,120,70571,0.5110684633255005,30.013938188552856,0.12217584252357483,0.4355024993419647,0.3375962972640991,0.02649838663637638,0.36664971709251404,0.05508634075522423,0.5567886829376221,0.3881250023841858,,1.0,0.011067836545407772,0.48428279161453247,0.4888904392719269,0.015758933499455452,0.0577474869787693,0.5173863768577576,0.42486611008644104,0.99609375,0.0008075510268099606,0.9941181540489197,0.003266644896939397,0.0018076497362926602,0.050565287470817566,0.896090567111969,0.053344182670116425,0.98046875,0.011160665191709995,0.3059254288673401,0.568459689617157,0.11445420980453491,0.057812467217445374,0.4132222831249237,0.5289652347564697,0.796875,0.0070718079805374146,0.042081817984580994,0.027757570147514343,0.923088788986206,0.05495026707649231,0.45813441276550293,0.48691534996032715,0.00726619828492403,0.4375298023223877,0.2918553054332733,0.26334866881370544,0.31854966282844543,0.9990986585617065,0.08758018910884857,0.07983573526144028,0.08212198317050934,0.08026568591594696,9.38189752123543e-14,1.6169114658293182e-12,1.3302337746948223e-12,1.3325932154625852e-12
mixed,task_moe_msgutil,160,0.1434120237827301,0.11869940161705017,0.10618557222187519,0.9580078125,0.9580078125,160,70571,0.20381326973438263,39.96513605117798,0.1048140749335289,0.4153054356575012,0.3129688501358032,0.02074168436229229,0.40421348810195923,0.06597516685724258,0.5394094586372375,0.3946153521537781,,1.0,0.07248532772064209,0.43572843074798584,0.47394120693206787,0.01784498803317547,0.1007397323846817,0.4785255789756775,0.420734703540802,1.0,0.001709233270958066,0.9938852787017822,0.0025185728445649147,0.0018869274063035846,0.05119646340608597,0.8958945274353027,0.05290897190570831,1.0,0.007973812520503998,0.23645108938217163,0.7029887437820435,0.052586331963539124,0.05558167025446892,0.3427155315876007,0.6017028093338013,0.83203125,0.005054241977632046,0.019580349326133728,0.0172260869294405,0.9581393003463745,0.053537968546152115,0.45187434554100037,0.4945877194404602,0.022821662947535515,0.41756412386894226,0.3016893267631531,0.2579248547554016,0.324537992477417,0.9979522228240967,0.08667077124118805,0.07530441135168076,0.07864473760128021,0.07647035270929337,9.915126445575462e-14,1.858579262714599e-12,1.507950014856263e-12,1.4665407560218724e-12
