step,loss,loss_policy,loss_task,survival_weight_mean,hunger_mean,death_events,reward_mean,energy_mean,energy_max,food_alive,births,deaths,contact_events,transfer_mean,shape_speed,shape_tool,shape_guard,shape_sense,wave_mean,bend_mean,speed_mean,stretch_error,segments,p_forage,p_avoid,p_pair,p_rest,w_graph,w_order,w_key,order_abs,key_entropy,sec
1,0.19628889858722687,0.132547527551651,1.2550419569015503,1.0,0.0,0,-0.00724605331197381,69.92753601074219,71.49002838134766,32,0,0,4,0.06752453744411469,0.2396518737077713,0.2592291235923767,0.25555676221847534,0.24556228518486023,0.5332659482955933,0.05957229062914848,0.5100584030151367,9.565304026182275e-06,7,0.2866743206977844,0.2604546546936035,0.217295303940773,0.23557573556900024,0.3713383674621582,0.3156479001045227,0.3130137622356415,0.0008185580372810364,0.9999999403953552,0.6090538501739502
20,0.06859699636697769,0.058724794536828995,0.18378613889217377,1.0,0.0,0,-0.007266631815582514,68.32133483886719,76.8692855834961,32,0,0,8,0.04938321188092232,0.09378762543201447,0.38167279958724976,0.12287580221891403,0.40166375041007996,0.17686372995376587,0.06103052571415901,0.16257432103157043,8.854704901750665e-06,7,0.9971824884414673,0.0015183821087703109,0.0003640071372501552,0.0009351079352200031,0.3798990249633789,0.2868427038192749,0.33325839042663574,0.0008404083200730383,0.999995231628418,3.944223642349243
40,0.0601348802447319,0.055936865508556366,0.07007291167974472,1.0,0.0,0,-0.00806546863168478,66.8210220336914,79.78714752197266,31,0,0,4,0.022547848522663116,0.10506700724363327,0.36434611678123474,0.16955190896987915,0.36103492975234985,0.2100507616996765,0.050479818135499954,0.21272939443588257,8.575618267059326e-06,7,0.9412530064582825,0.05691494420170784,0.000868979434017092,0.0009631261928007007,0.3740672171115875,0.2950318455696106,0.3309009075164795,0.000865113630425185,0.9999937415122986,7.427946329116821
60,0.056117817759513855,0.05485454574227333,0.011600367724895477,1.0,0.0,0,-0.007680869195610285,65.23518371582031,82.63594055175781,31,0,0,2,0.01429739035665989,0.0996004045009613,0.3775341808795929,0.15424826741218567,0.36861714720726013,0.19914798438549042,0.07233408093452454,0.1993718296289444,8.903443813323975e-06,7,0.9586471915245056,0.04063130170106888,0.0003134673461318016,0.000407985266065225,0.36819109320640564,0.29266417026519775,0.3391447365283966,0.0008863396942615509,0.9999957084655762,10.929382562637329
80,0.05291511490941048,0.05207281559705734,0.0032035931944847107,1.0,0.0,0,-0.008417794480919838,63.64942169189453,81.02681732177734,31,0,0,6,0.041537463665008545,0.10234250128269196,0.3645544648170471,0.15729185938835144,0.3758111596107483,0.19601958990097046,0.10125607997179031,0.20151109993457794,9.328126907348633e-06,7,0.9529362320899963,0.04677637293934822,0.00012182840873720124,0.00016560181393288076,0.35850679874420166,0.2889781594276428,0.3525150716304779,0.0009039049036800861,0.9999993443489075,14.4364492893219
100,0.048073660582304,0.04698885977268219,0.008094314485788345,1.0,0.0,0,-0.0066111208871006966,62.1197509765625,80.71903228759766,31,0,0,4,0.029239514842629433,0.10524680465459824,0.36239492893218994,0.16474980115890503,0.3676084578037262,0.20188423991203308,0.15526483952999115,0.20716679096221924,8.896304279915057e-06,7,0.9344682097434998,0.06527500599622726,0.00010071245196741074,0.0001560598611831665,0.3455352187156677,0.2838366627693176,0.37062811851501465,0.0009321650140918791,0.9999991059303284,17.993576526641846
120,0.04932215437293053,0.04854682832956314,0.0018164796056225896,1.0,0.0,0,-0.008514830842614174,60.65003204345703,86.5090560913086,31,0,0,7,0.04497818648815155,0.10499194264411926,0.37012970447540283,0.16854961216449738,0.35632872581481934,0.2045658528804779,0.14018279314041138,0.20968860387802124,8.98260623216629e-06,7,0.9057329893112183,0.09407756477594376,7.772265234962106e-05,0.00011174991959705949,0.334027498960495,0.2816234230995178,0.3843490481376648,0.0009567959932610393,0.9999975562095642,21.507741689682007
