step,loss,loss_policy,loss_task,survival_weight_mean,hunger_mean,death_events,reward_mean,energy_mean,energy_max,food_alive,births,deaths,contact_events,transfer_mean,shape_speed,shape_tool,shape_guard,shape_sense,wave_mean,bend_mean,speed_mean,stretch_error,segments,p_forage,p_avoid,p_pair,p_rest,w_graph,w_order,w_key,order_abs,key_entropy,sec
1,0.20115120708942413,0.13890844583511353,1.2251129150390625,1.0,0.0,0,-0.008945870213210583,69.91053771972656,69.91658782958984,8,0,0,0,0.0,0.2346220314502716,0.26042336225509644,0.2576507031917572,0.24730388820171356,0.5317766070365906,0.04923323541879654,0.4981022775173187,1.0718902558437549e-05,7,0.29533642530441284,0.257619708776474,0.23020592331886292,0.21683791279792786,0.3699514865875244,0.3157167434692383,0.3143317401409149,0.0008061137632466853,0.9999996423721313,0.6013987064361572
2,0.17847780883312225,0.12546038627624512,1.040771245956421,1.0,0.0,0,-0.009045982733368874,69.82008361816406,69.83222198486328,8,0,0,0,0.0,0.22426176071166992,0.25666260719299316,0.23998381197452545,0.27909186482429504,0.5143370628356934,0.046841811388731,0.5165612697601318,1.0523945093154907e-05,7,0.35463225841522217,0.23384658992290497,0.2044529765844345,0.20706817507743835,0.37188848853111267,0.31154054403305054,0.316570907831192,0.0008071463671512902,0.9999996423721313,0.8176321983337402
3,0.16278940439224243,0.11821188032627106,0.8723258376121521,1.0,0.0,0,-0.009033250622451305,69.72975158691406,69.74799346923828,8,0,0,0,0.0,0.21677115559577942,0.25410187244415283,0.23509907722473145,0.2940278649330139,0.4963850677013397,0.036814942955970764,0.5185084342956543,1.03128459159052e-05,7,0.41955873370170593,0.20936696231365204,0.1780734807252884,0.19300080835819244,0.37361326813697815,0.30761972069740295,0.3187670111656189,0.0008017509244382381,0.9999997019767761,1.006612777709961
4,0.1461748629808426,0.10936897993087769,0.7172996997833252,1.0,0.0,0,-0.008994626812636852,69.63980102539062,69.66407012939453,8,0,0,0,0.0,0.209662064909935,0.2509230375289917,0.23308604955673218,0.30632883310317993,0.4780760407447815,0.024804500862956047,0.5166431665420532,1.0773539543151855e-05,7,0.49005505442619324,0.1837911307811737,0.15107634663581848,0.17507746815681458,0.37523460388183594,0.3037264049053192,0.32103902101516724,0.000801175192464143,0.9999997019767761,1.187255859375
5,0.1296079158782959,0.09977345913648605,0.5783037543296814,1.0,0.0,0,-0.008944439701735973,69.55035400390625,69.58029174804688,8,0,0,0,0.0,0.20350852608680725,0.2473907619714737,0.23037976026535034,0.3187209367752075,0.4589862525463104,0.017384888604283333,0.5112382769584656,1.1254101991653442e-05,7,0.5633440017700195,0.1579250991344452,0.12522678077220917,0.1535041183233261,0.3766973614692688,0.29987654089927673,0.32342618703842163,0.0008022108231671154,0.9999997019767761,1.367143154144287
