task,model,step,train_loss,train_ce,expected_cost,entropy_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,w_graph,w_order,w_key,router_entropy,acc_program,w_graph_program,w_order_program,w_key_program,order_abs,key_entropy
program,always_typed,1,0.7407843470573425,0.7407843470573425,0.0,0.0,0.790795773267746,0.48828125,0.48828125,1,57066,2.34940767288208,0.8919389247894287,0.33244505524635315,0.3337774872779846,0.3337774872779846,1.0,0.48828125,0.33244505524635315,0.3337774872779846,0.3337774872779846,,
program,always_typed,60,0.5018306374549866,0.5018306374549866,0.0,0.0,0.4857330173254013,0.7587890625,0.7587890625,60,57066,0.6661191582679749,15.251709222793579,0.31075459718704224,0.33096396923065186,0.3582814931869507,1.0,0.7587890625,0.31075459718704224,0.33096396923065186,0.3582814931869507,,
program,always_typed,120,0.3981858491897583,0.3981858491897583,0.0,0.0,0.3932851105928421,0.8125,0.8125,120,57066,0.6620115041732788,29.827710151672363,0.296438068151474,0.3372449278831482,0.3663170635700226,1.0,0.8125,0.296438068151474,0.3372449278831482,0.3663170635700226,,
program,always_typed,180,0.38455429673194885,0.38455429673194885,0.0,0.0,0.35573824495077133,0.81640625,0.81640625,180,57066,0.6161271333694458,44.3869686126709,0.288979709148407,0.3380219638347626,0.37299829721450806,1.0,0.81640625,0.288979709148407,0.3380219638347626,0.37299829721450806,,
program,cost_router,1,0.7189978957176208,0.6935052871704102,0.3113635182380676,0.9924389123916626,0.7002794444561005,0.5009765625,0.5009765625,1,61322,1.492753505706787,0.5456745624542236,0.27636969089508057,0.294777512550354,0.42885276675224304,0.9801610112190247,0.5009765625,0.276702344417572,0.29403313994407654,0.42926451563835144,0.40578579902648926,0.9999763369560242
program,cost_router,60,0.48592886328697205,0.4682122766971588,0.34994563460350037,0.02193201519548893,0.5226524472236633,0.74609375,0.74609375,60,61322,0.1941368579864502,14.872492551803589,0.0014137133257463574,0.0018724037799984217,0.9967138767242432,0.02199198678135872,0.74609375,0.0014017829671502113,0.0018561962060630322,0.9967420101165771,0.4069446325302124,0.9996886849403381
program,cost_router,120,0.4507268965244293,0.4328370988368988,0.3507421910762787,0.035267431288957596,0.49910540133714676,0.76953125,0.76953125,120,61322,0.5290044546127319,29.40129804611206,0.0009451117366552353,0.00558862742036581,0.9934662580490112,0.037611011415719986,0.76953125,0.0009207673720084131,0.005433292128145695,0.9936459064483643,0.40464991331100464,0.9974749684333801
program,cost_router,180,0.3826114237308502,0.3589142858982086,0.3853127360343933,0.44315144419670105,0.420877605676651,0.8173828125,0.8173828125,180,61322,0.3546155095100403,44.17370796203613,0.0028936259914189577,0.18638554215431213,0.8107208013534546,0.45098650455474854,0.8173828125,0.0029185975436121225,0.18714019656181335,0.8099411725997925,0.40692177414894104,0.9928780794143677
