task,model,step,train_loss,train_ce,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,acc_route,w_graph_route,w_order_route,w_key_route,acc_order,w_graph_order,w_order_order,w_key_order,acc_kv,w_graph_kv,w_order_kv,w_key_kv,w_graph,w_order,w_key,router_entropy,order_abs,key_entropy,base_edge_density,base_edge_entropy
mixed,graph,1,0.9149570465087891,0.9149570465087891,0.8629159331321716,0.50390625,0.50390625,1,22275,16.761777877807617,0.8977360725402832,0.1857638955116272,0.5489105582237244,0.5088235294117647,0.0,0.0,0.0,0.5058823529411764,0.0,0.0,0.0,0.49709302325581395,0.0,0.0,0.0,,,,,,,,
mixed,graph,30,0.6928870677947998,0.6928870677947998,0.6926877200603485,0.5107421875,0.5107421875,30,22275,0.10648462176322937,7.446477890014648,0.1857638955116272,0.5489069819450378,0.5117647058823529,0.0,0.0,0.0,0.5411764705882353,0.0,0.0,0.0,0.4796511627906977,0.0,0.0,0.0,,,,,,,,
mixed,graph,60,0.6989249587059021,0.6989249587059021,0.6966456025838852,0.501953125,0.5107421875,30,22275,1.202124834060669,13.964844226837158,0.1857638955116272,0.5488934516906738,0.5235294117647059,0.0,0.0,0.0,0.5147058823529411,0.0,0.0,0.0,0.4680232558139535,0.0,0.0,0.0,,,,,,,,
mixed,graph,90,0.6547259092330933,0.6547259092330933,0.6255383342504501,0.65625,0.65625,90,22275,3.3975391387939453,20.49927020072937,0.1857638955116272,0.5487881898880005,0.7647058823529411,0.0,0.0,0.0,0.5088235294117647,0.0,0.0,0.0,0.6947674418604651,0.0,0.0,0.0,,,,,,,,
mixed,graph,120,0.7167840003967285,0.7167840003967285,0.616332396864891,0.6328125,0.65625,90,22275,7.411384105682373,27.19412851333618,0.1857638955116272,0.5486341118812561,0.711764705882353,0.0,0.0,0.0,0.5147058823529411,0.0,0.0,0.0,0.6715116279069767,0.0,0.0,0.0,,,,,,,,
mixed,always_typed,1,0.6898967623710632,0.6898967623710632,0.898351863026619,0.4833984375,0.4833984375,1,57066,0.3456464409828186,0.5115146636962891,,,0.5088235294117647,0.33377745747566223,0.33377745747566223,0.33244508504867554,0.4411764705882353,0.33377745747566223,0.33377745747566223,0.33244508504867554,0.5,0.33377745747566223,0.33377745747566223,0.33244508504867554,0.3337774872779846,0.3337774872779846,0.33244505524635315,1.0,0.3113844394683838,0.9999877214431763,,
mixed,always_typed,30,0.3588316738605499,0.3588316738605499,0.37056610733270645,0.861328125,0.861328125,30,57066,0.2857487201690674,6.997860908508301,,,0.9382352941176471,0.3118933439254761,0.3446615934371948,0.3434452712535858,0.9529411764705882,0.3118933439254761,0.3446615934371948,0.3434452712535858,0.6947674418604651,0.3118933141231537,0.3446615934371948,0.3434453010559082,0.3118932545185089,0.34466153383255005,0.3434452414512634,1.0,0.31032687425613403,0.9999813437461853,,
mixed,always_typed,60,0.20339711010456085,0.20339711010456085,0.18135694786906242,0.93359375,0.93359375,60,57066,0.38185423612594604,13.720834016799927,,,0.9705882352941176,0.2911463975906372,0.35152915120124817,0.3573242425918579,0.9823529411764705,0.2911463975906372,0.35152915120124817,0.3573242425918579,0.8488372093023255,0.2911463975906372,0.35152915120124817,0.3573242127895355,0.29114648699760437,0.35152915120124817,0.3573243319988251,1.0,0.30931025743484497,0.999891996383667,,
mixed,always_typed,90,0.10746333748102188,0.10746333748102188,0.08634284511208534,0.974609375,0.974609375,90,57066,0.5797762870788574,20.303028106689453,,,0.9941176470588236,0.27759698033332825,0.35686683654785156,0.3655361831188202,0.9970588235294118,0.27759698033332825,0.35686683654785156,0.3655361831188202,0.9331395348837209,0.27759698033332825,0.35686683654785156,0.3655361831188202,0.27759701013565063,0.35686683654785156,0.3655361533164978,1.0,0.30530059337615967,0.999661922454834,,
mixed,always_typed,120,0.03168412297964096,0.03168412297964096,0.02951006218791008,0.9970703125,0.9970703125,120,57066,0.16257016360759735,27.112989902496338,,,0.9970588235294118,0.26487812399864197,0.36814162135124207,0.3669804334640503,1.0,0.26487812399864197,0.36814162135124207,0.3669804334640503,0.9941860465116279,0.26487812399864197,0.36814162135124207,0.3669804036617279,0.2648780941963196,0.3681415319442749,0.3669803738594055,1.0,0.309435099363327,0.999254584312439,,
