task,model,step,train_loss,train_ce,expected_cost,entropy_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,acc_program,w_graph_program,w_order_program,w_key_program,w_graph,w_order,w_key,router_entropy,order_abs,key_entropy
program,graph,1,0.9812446236610413,0.9812446236610413,0.0,0.0,0.8257264941930771,0.48828125,0.48828125,1,22275,15.701090812683105,0.9368448257446289,0.1857638955116272,0.5489104986190796,0.48828125,0.0,0.0,0.0,,,,,,
program,graph,40,0.6918131709098816,0.6918131709098816,0.0,0.0,0.6930066794157028,0.4990234375,0.4990234375,40,22275,0.04745612293481827,10.885133743286133,0.1857638955116272,0.5489027500152588,0.4990234375,0.0,0.0,0.0,,,,,,
program,graph,80,0.6647186875343323,0.6647186875343323,0.0,0.0,0.6562911868095398,0.5888671875,0.5888671875,80,22275,0.5054891705513,20.942004442214966,0.1857638955116272,0.5488039255142212,0.5888671875,0.0,0.0,0.0,,,,,,
program,graph,120,0.6392683386802673,0.6392683386802673,0.0,0.0,0.6587538868188858,0.5302734375,0.5888671875,80,22275,1.877926230430603,30.64953851699829,0.1857638955116272,0.5486211776733398,0.5302734375,0.0,0.0,0.0,,,,,,
program,graph,160,0.52714604139328,0.52714604139328,0.0,0.0,0.5972690880298615,0.6904296875,0.6904296875,160,22275,0.2656210958957672,40.110931158065796,0.1857638955116272,0.5484281182289124,0.6904296875,0.0,0.0,0.0,,,,,,
program,graph,200,0.5587574243545532,0.5587574243545532,0.0,0.0,0.5456099510192871,0.69140625,0.69140625,200,22275,2.6426985263824463,49.75039625167847,0.1857638955116272,0.548295259475708,0.69140625,0.0,0.0,0.0,,,,,,
program,graph,240,0.5706388354301453,0.5706388354301453,0.0,0.0,0.5372879579663277,0.703125,0.703125,240,22275,1.3868396282196045,59.3494770526886,0.1857638955116272,0.548227846622467,0.703125,0.0,0.0,0.0,,,,,,
program,always_typed,1,0.715413510799408,0.715413510799408,0.0,0.0,0.7809883505105972,0.490234375,0.490234375,1,57066,1.452086091041565,0.5264925956726074,,,0.490234375,0.3337774872779846,0.33377745747566223,0.33244505524635315,0.3337774872779846,0.33377745747566223,0.33244505524635315,1.0,,
program,always_typed,40,0.5206069350242615,0.5206069350242615,0.0,0.0,0.4928803890943527,0.767578125,0.767578125,40,57066,0.2525951564311981,9.818337678909302,,,0.767578125,0.31704384088516235,0.33171674609184265,0.3512394428253174,0.31704384088516235,0.33171674609184265,0.3512394428253174,1.0,,
program,always_typed,80,0.4337955713272095,0.4337955713272095,0.0,0.0,0.440934494137764,0.779296875,0.779296875,80,57066,0.4092385768890381,19.88981556892395,,,0.779296875,0.30916300415992737,0.33464762568473816,0.35618939995765686,0.30916300415992737,0.33464762568473816,0.35618939995765686,1.0,,
