task,winner,winner_acc,adfc3_acc,best_non_adfc3,non_adfc3_acc,adfc3_margin
mode_select,adfc3,1.0,1.0,mean_pool,0.7578125,0.2421875
order_compare,adfc3,0.5419921875,0.5419921875,mean_pool,0.5166015625,0.025390625
kv_recall4,adfc3,1.0,1.0,mean_pool,0.71484375,0.28515625
