task,model,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,plateau,key_entropy,order_abs,order_gate
order_compare,mean_pool,1,0.6987598538398743,0.6936829388141632,0.49951171875,0.49951171875,1,109060,0.17916090786457062,0.4295310974121094,,,,
order_compare,mean_pool,30,0.696113646030426,0.6949597746133804,0.5,0.5,30,109060,0.043729715049266815,0.7416489124298096,,,,
order_compare,mean_pool,60,0.693266749382019,0.6935744136571884,0.513671875,0.513671875,60,109060,0.0835757926106453,1.0472490787506104,,,,
order_compare,mean_pool,90,0.6935389041900635,0.6961456537246704,0.4912109375,0.513671875,60,109060,0.0519074983894825,1.354682445526123,,,,
order_compare,mean_pool,120,0.6939746737480164,0.693667858839035,0.5,0.513671875,60,109060,0.12909014523029327,1.6599507331848145,,,,
order_compare,mean_pool,150,0.6928655505180359,0.6935484260320663,0.49658203125,0.513671875,60,109060,0.0483781099319458,1.9616799354553223,,,,
order_compare,mean_pool,180,0.6976861953735352,0.6985985487699509,0.4921875,0.513671875,60,109060,0.11105674505233765,2.266474723815918,,,,
order_compare,adfc3,1,0.7087478637695312,0.696686178445816,0.49560546875,0.49560546875,1,161124,1.003857970237732,0.8711967468261719,0.49227333068847656,0.974994421005249,,
order_compare,adfc3,30,0.6888376474380493,0.693718895316124,0.4951171875,0.49560546875,1,161124,0.10029032826423645,12.129745960235596,0.4514492452144623,0.8983848690986633,,
order_compare,adfc3,60,0.6929020285606384,0.6975551396608353,0.5068359375,0.5068359375,60,161124,0.6652153134346008,23.802070379257202,0.43795132637023926,0.9082438349723816,,
order_compare,adfc3,90,0.6360829472541809,0.6497225165367126,0.603515625,0.603515625,90,161124,0.356089323759079,35.40174078941345,0.4499390125274658,0.9390677809715271,,
order_compare,adfc3,120,0.5578926205635071,0.5270264595746994,0.68896484375,0.68896484375,120,161124,0.7984966039657593,46.972166538238525,0.39985227584838867,0.9406998157501221,,
order_compare,adfc3,150,0.3145192265510559,0.6502083539962769,0.72509765625,0.72509765625,150,161124,3.502575159072876,58.87561106681824,0.356036901473999,0.9449347853660583,,
order_compare,adfc3,180,0.2533250153064728,0.29554734379053116,0.86962890625,0.86962890625,180,161124,2.181338310241699,70.57951426506042,0.323370099067688,0.9298222661018372,,
order_compare,adfc6,1,0.7086367607116699,0.7003909200429916,0.47998046875,0.47998046875,1,162988,1.0481023788452148,0.8613312244415283,0.4997274577617645,0.950266420841217,0.02082846686244011,0.5029082894325256
order_compare,adfc6,30,0.6903201341629028,0.6947166919708252,0.50244140625,0.50244140625,30,162988,0.18566381931304932,12.550710916519165,0.46216559410095215,0.9393861889839172,0.01960155740380287,0.5001870393753052
order_compare,adfc6,60,0.6909862756729126,0.6921310722827911,0.51220703125,0.51220703125,60,162988,0.24013185501098633,24.64261221885681,0.4490659832954407,0.9377070665359497,0.0192901361733675,0.4980180859565735
order_compare,adfc6,90,0.6939431428909302,0.6662108451128006,0.58837890625,0.58837890625,90,162988,0.23118464648723602,36.54055452346802,0.4549797773361206,0.9473771452903748,0.021844837814569473,0.4956342279911041
order_compare,adfc6,120,0.3843441307544708,0.3358476981520653,0.86669921875,0.86669921875,120,162988,1.0746978521347046,48.62268328666687,0.4178833067417145,0.003597133094444871,0.11134162545204163,0.48264703154563904
order_compare,adfc6,150,0.040708158165216446,0.04063319135457277,0.9853515625,0.9853515625,150,162988,0.44805529713630676,60.78991913795471,0.3508214056491852,0.005854773335158825,0.2865355610847473,0.47852233052253723
order_compare,adfc6,180,0.008820077404379845,0.00444740301463753,0.99853515625,0.99853515625,180,162988,0.5025807619094849,73.12748861312866,0.30204057693481445,0.01951608620584011,0.24543562531471252,0.45405009388923645
