step,loss,loss_policy,reward_mean,energy_mean,energy_max,food_alive,births,deaths,shape_speed,shape_tool,shape_guard,shape_sense,p_forage,p_avoid,p_mate,p_rest,w_graph,w_order,w_key,order_abs,key_entropy,sec
1,0.13343805074691772,0.13244189321994781,0.010110467672348022,70.10110473632812,75.3471908569336,57,0,0,0.25494617223739624,0.23031461238861084,0.24470001459121704,0.2700392007827759,0.22667129337787628,0.2489108294248581,0.30347493290901184,0.22094297409057617,0.3722987473011017,0.31592631340026855,0.31177496910095215,0.0013590364251285791,0.9999982714653015,0.6223275661468506
20,0.05492382496595383,0.0541737861931324,-0.009875607676804066,68.62242126464844,93.75526428222656,58,0,0,0.1244722455739975,0.45528674125671387,0.13955338299274445,0.2806876301765442,0.012597046792507172,0.940657913684845,0.018851231783628464,0.027893822640180588,0.37227195501327515,0.3596569895744324,0.2680710256099701,0.0013852560659870505,0.9999974370002747,3.813854455947876
40,0.05437023192644119,0.05364339053630829,-0.007219134364277124,67.37290954589844,126.62785339355469,58,0,1,0.12210750579833984,0.4318176507949829,0.16672800481319427,0.2793468236923218,0.000428039173129946,0.9966983795166016,0.001396923908032477,0.0014766622334718704,0.3660179078578949,0.3723295331001282,0.26165252923965454,0.001442154636606574,0.999994158744812,6.742833375930786
60,0.056382566690444946,0.05567482113838196,-0.005493608303368092,66.1246337890625,157.64892578125,60,0,1,0.13337580859661102,0.4208570420742035,0.17366859316825867,0.2720985412597656,0.0004177521332167089,0.9959125518798828,0.002210120903328061,0.0014596318360418081,0.3649562895298004,0.3709243834018707,0.26411932706832886,0.001549914595670998,0.9999927878379822,9.912153720855713
80,0.05596082657575607,0.05524817481637001,-0.008386161178350449,64.79022979736328,156.35720825195312,56,0,1,0.13328686356544495,0.4100135266780853,0.18767285346984863,0.2690267860889435,0.0024965801276266575,0.9337770342826843,0.05985090136528015,0.0038754381239414215,0.3516402840614319,0.36663830280303955,0.28172141313552856,0.0017429740400984883,0.9999879598617554,12.915902137756348
100,0.061427611857652664,0.06070529669523239,-0.0011897992808371782,63.72044372558594,166.01918029785156,54,0,2,0.13214382529258728,0.4121546447277069,0.19362714886665344,0.26207441091537476,0.0016606635181233287,0.08725510537624359,0.9098772406578064,0.0012069877702742815,0.30813080072402954,0.3399732708930969,0.35189586877822876,0.0022675287909805775,0.9999879002571106,15.883043766021729
120,0.056908417493104935,0.056171707808971405,0.0011350148124620318,63.569217681884766,175.42698669433594,52,0,5,0.13785631954669952,0.41470831632614136,0.19242024421691895,0.25501513481140137,0.0008899952517822385,0.23962947726249695,0.7589098811149597,0.0005706266965717077,0.308302640914917,0.3408418595790863,0.3508554995059967,0.002556866966187954,0.9999977350234985,18.95037293434143
140,0.04893355444073677,0.048216771334409714,-0.017169516533613205,60.26345443725586,132.64210510253906,52,74,11,0.12718906998634338,0.4188840985298157,0.1904812604188919,0.26344555616378784,0.0003187895636074245,0.1813558042049408,0.8180851936340332,0.00024023957666940987,0.29379892349243164,0.3268637955188751,0.37933728098869324,0.002099445788189769,0.999991238117218,21.96667170524597
160,0.04895026236772537,0.048240989446640015,0.0032066956628113985,59.01640319824219,140.46495056152344,48,88,15,0.1377917379140854,0.3777860701084137,0.18935801088809967,0.29506415128707886,0.0003335741348564625,0.052693285048007965,0.9467776417732239,0.00019547305419109762,0.26860958337783813,0.3031081557273865,0.428282231092453,0.0024074651300907135,0.9999848008155823,25.105791807174683
180,0.06248472258448601,0.0617813915014267,0.012174282222986221,57.579833984375,90.96543884277344,45,106,18,0.12940183281898499,0.4134429097175598,0.19003775715827942,0.2671174705028534,0.0002343775995541364,0.008802821859717369,0.9908230900764465,0.00013973930617794394,0.2633340358734131,0.29407477378845215,0.44259113073349,0.0027163925115019083,0.9999491572380066,28.291736841201782
200,0.060717739164829254,0.06001260131597519,0.013410818763077259,57.14567565917969,105.03592681884766,45,113,23,0.11464272439479828,0.41454029083251953,0.21342602372169495,0.25739097595214844,0.009654218330979347,0.2959482669830322,0.6899542212486267,0.0044433181174099445,0.2936118245124817,0.32243621349334717,0.38395190238952637,0.0027735508047044277,0.9999855160713196,31.506598711013794
