task,variant,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,order_abs,order_gate,key_entropy,ops_scale
order,none,40,0.685549795627594,0.7105216234922409,0.4921875,0.5052083333333334,1,19971,0.9931862354278564,8.214462280273438,0.0,0.0,,,,
order,learned_sparse,40,0.6937881112098694,0.6991692930459976,0.453125,0.5065104166666666,20,22275,0.45870712399482727,8.337347745895386,0.1857638955116272,0.5489045977592468,,,,
order,learned_sparse_ops,40,0.7065871357917786,0.6934531778097153,0.51171875,0.5234375,1,27886,1.8594907522201538,8.528047800064087,0.1857638955116272,0.5489040017127991,0.003536087227985263,0.4969559907913208,0.9999887943267822,0.7512727975845337
kv,none,40,0.7331296801567078,0.7077088803052902,0.4908854166666667,0.5,20,19971,3.285274028778076,7.7780067920684814,0.0,0.0,,,,
kv,learned_sparse,40,0.7049260139465332,0.7101437449455261,0.5286458333333334,0.5286458333333334,40,22275,1.6420280933380127,8.300979137420654,0.1857638955116272,0.5488989353179932,,,,
kv,learned_sparse_ops,40,0.6737378239631653,0.6679423600435257,0.6966145833333334,0.6966145833333334,40,27886,1.313624382019043,8.692863702774048,0.1857638955116272,0.5489010810852051,0.0020174412056803703,0.49601832032203674,0.9997095465660095,0.7711280584335327
