task,model,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,plateau,key_entropy,order_abs,order_gate
mode_select,mean_pool,1,0.7027050852775574,0.6933894157409668,0.5009765625,0.5009765625,1,109060,0.19934678077697754,0.39331531524658203,,,,
mode_select,mean_pool,30,0.6358975768089294,0.6267271786928177,0.73828125,0.73828125,30,109060,0.08751180022954941,0.6327223777770996,,,,
mode_select,mean_pool,60,0.6061023473739624,0.5990746468305588,0.7197265625,0.73828125,30,109060,0.09786191582679749,0.8742179870605469,,,,
mode_select,mean_pool,90,0.5642014145851135,0.5574224144220352,0.755859375,0.755859375,90,109060,0.14453667402267456,1.121217966079712,,,,
mode_select,mean_pool,120,0.5234676003456116,0.5272985994815826,0.744140625,0.755859375,90,109060,0.13513289391994476,1.3574724197387695,,,,
mode_select,adfc3,1,0.697780191898346,0.6941464096307755,0.48046875,0.48046875,1,161124,0.8839948773384094,0.9177687168121338,0.5018917322158813,0.9682680368423462,,
mode_select,adfc3,30,0.2831812798976898,0.2743515484035015,0.8759765625,0.8759765625,30,161124,1.7712526321411133,12.627476692199707,0.48937350511550903,0.19084271788597107,,
mode_select,adfc3,60,0.0008620319422334433,0.0008432779723079875,1.0,1.0,60,161124,0.009405067190527916,24.803441286087036,0.4882740378379822,0.002881642198190093,,
mode_select,adfc3,90,0.0003912727115675807,0.00039739449857734144,1.0,1.0,60,161124,0.004296387080103159,36.831339836120605,0.4905261695384979,0.002400113269686699,,
mode_select,adfc3,120,0.00028471750556491315,0.0002879271123674698,1.0,1.0,60,161124,0.003141568973660469,48.990248680114746,0.4867000877857208,0.0015553866978734732,,
mode_select,adfc6,1,0.6981496810913086,0.7066751271486282,0.5048828125,0.5048828125,1,162988,0.7245133519172668,0.8904261589050293,0.5001436471939087,0.9707361459732056,0.02130364254117012,0.5025948286056519
mode_select,adfc6,30,0.10514000803232193,0.03661444969475269,1.0,1.0,30,162988,1.7055984735488892,12.826766014099121,0.4837341010570526,0.2147805541753769,0.022567495703697205,0.49958187341690063
mode_select,adfc6,60,0.0002975038078147918,0.0002884877612814307,1.0,1.0,30,162988,0.003368259174749255,26.49079203605652,0.48230019211769104,0.0016572389286011457,0.023207180202007294,0.4979003667831421
mode_select,adfc6,90,0.00019276262901257724,0.00019040653205593117,1.0,1.0,30,162988,0.0021950809750705957,39.84295320510864,0.48249685764312744,0.0012094912817701697,0.02339642494916916,0.49702441692352295
mode_select,adfc6,120,0.00015615006850566715,0.0001559052907396108,1.0,1.0,30,162988,0.0017651199596002698,52.70060133934021,0.4823377728462219,0.001309272600337863,0.024000925943255424,0.4977565407752991
order_compare,mean_pool,1,0.7019314765930176,0.6933345645666122,0.515625,0.515625,1,109060,0.16160471737384796,0.07236647605895996,,,,
order_compare,mean_pool,30,0.6951382160186768,0.7034054398536682,0.4716796875,0.515625,1,109060,0.0863678902387619,0.4992659091949463,,,,
order_compare,mean_pool,60,0.6906082034111023,0.6936212331056595,0.4765625,0.515625,1,109060,0.05855446681380272,1.075596570968628,,,,
order_compare,mean_pool,90,0.698641300201416,0.6943990737199783,0.484375,0.515625,1,109060,0.0875701755285263,1.5925440788269043,,,,
order_compare,mean_pool,120,0.6991797089576721,0.6930554211139679,0.5048828125,0.515625,1,109060,0.11712203174829483,2.094653606414795,,,,
order_compare,adfc3,1,0.7382635474205017,0.6960809677839279,0.46484375,0.46484375,1,161124,1.9043166637420654,0.9339141845703125,0.49800020456314087,0.9742946624755859,,
order_compare,adfc3,30,0.6958115100860596,0.6958264708518982,0.4892578125,0.4892578125,30,161124,0.590925931930542,14.01921010017395,0.4583326578140259,0.9674558639526367,,
order_compare,adfc3,60,0.6950711607933044,0.6909760385751724,0.52734375,0.52734375,60,161124,0.5704185962677002,27.218769311904907,0.4392606019973755,0.9336302876472473,,
order_compare,adfc3,90,0.6876323819160461,0.6805061995983124,0.5546875,0.5546875,90,161124,0.62275630235672,39.778104066848755,0.4491560459136963,0.8401564955711365,,
order_compare,adfc3,120,0.5845691561698914,0.6381786912679672,0.6162109375,0.6162109375,120,161124,0.852855920791626,52.428189516067505,0.40476271510124207,0.9536205530166626,,
order_compare,adfc6,1,0.7589449882507324,0.6968144923448563,0.505859375,0.505859375,1,162988,2.159834146499634,0.8352727890014648,0.49575716257095337,0.9734550714492798,0.020360879600048065,0.49610424041748047
order_compare,adfc6,30,0.6926378607749939,0.6967258900403976,0.4921875,0.505859375,1,162988,0.6533156037330627,13.100833415985107,0.4700244963169098,0.8661054372787476,0.020116440951824188,0.49325859546661377
order_compare,adfc6,60,0.6939854025840759,0.6933586448431015,0.52734375,0.52734375,60,162988,0.3288494050502777,25.651281356811523,0.45936164259910583,0.8191121816635132,0.02000461518764496,0.49035412073135376
