task,model,step,train_loss,train_ce,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,task_loss,graph_cost,task_entropy,balance,memory_waste,w_graph,w_order,w_key,router_entropy,acc_route,taskp_route_route,taskp_order_route,taskp_kv_route,taskp_program_route,w_graph_route,w_order_route,w_key_route,acc_order,taskp_route_order,taskp_order_order,taskp_kv_order,taskp_program_order,w_graph_order,w_order_order,w_key_order,acc_kv,taskp_route_kv,taskp_order_kv,taskp_kv_kv,taskp_program_kv,w_graph_kv,w_order_kv,w_key_kv,acc_program,taskp_route_program,taskp_order_program,taskp_kv_program,taskp_program_program,w_graph_program,w_order_program,w_key_program,task_p_route,task_p_order,task_p_kv,task_p_program,order_abs,key_entropy,graph_gate_route,graph_gate_order,graph_gate_kv,graph_gate_program,edge_util_route,edge_util_order,edge_util_kv,edge_util_program
mixed,always_typed,1,0.7342562079429626,0.7342562079429626,0.7383095324039459,0.51953125,0.51953125,1,57066,1.7982687950134277,0.9583194255828857,0.0,0.0,0.0,0.0,0.0,0.33244505524635315,0.3337774872779846,0.3337774872779846,1.0,0.49609375,0.0,0.0,0.0,0.0,0.33244508504867554,0.33377745747566223,0.33377745747566223,0.515625,0.0,0.0,0.0,0.0,0.33244508504867554,0.33377745747566223,0.33377745747566223,0.515625,0.0,0.0,0.0,0.0,0.33244508504867554,0.33377745747566223,0.33377745747566223,0.55078125,0.0,0.0,0.0,0.0,0.33244508504867554,0.33377745747566223,0.33377745747566223,,,,,,,,,,,,,,
mixed,always_typed,40,0.324556827545166,0.324556827545166,0.3218315616250038,0.873046875,0.873046875,40,57066,0.5237281322479248,10.275809288024902,0.0,0.0,0.0,0.0,0.0,0.30195674300193787,0.3496898114681244,0.34835344552993774,1.0,0.93359375,0.0,0.0,0.0,0.0,0.3019567131996155,0.3496898114681244,0.34835341572761536,0.9765625,0.0,0.0,0.0,0.0,0.3019567131996155,0.3496898114681244,0.34835341572761536,0.8203125,0.0,0.0,0.0,0.0,0.3019567131996155,0.3496898114681244,0.34835341572761536,0.76171875,0.0,0.0,0.0,0.0,0.3019567131996155,0.3496898114681244,0.34835341572761536,,,,,,,,,,,,,,
mixed,always_typed,80,0.18492895364761353,0.18492895364761353,0.19089509546756744,0.9130859375,0.9130859375,80,57066,0.2795809507369995,20.026813745498657,0.0,0.0,0.0,0.0,0.0,0.2812032401561737,0.3607036769390106,0.3580930829048157,1.0,0.98828125,0.0,0.0,0.0,0.0,0.2812032401561737,0.36070361733436584,0.35809311270713806,0.98828125,0.0,0.0,0.0,0.0,0.2812032401561737,0.36070361733436584,0.35809311270713806,0.91015625,0.0,0.0,0.0,0.0,0.2812032401561737,0.36070361733436584,0.35809311270713806,0.765625,0.0,0.0,0.0,0.0,0.2812032401561737,0.36070361733436584,0.35809311270713806,,,,,,,,,,,,,,
mixed,always_typed,120,0.13675491511821747,0.13675491511821747,0.15434691682457924,0.9384765625,0.9384765625,120,57066,0.4330258369445801,29.545607566833496,0.0,0.0,0.0,0.0,0.0,0.2664126753807068,0.3699001967906952,0.36368709802627563,1.0,0.99609375,0.0,0.0,0.0,0.0,0.2664127051830292,0.3699001967906952,0.36368706822395325,1.0,0.0,0.0,0.0,0.0,0.2664127051830292,0.3699001967906952,0.36368706822395325,0.99609375,0.0,0.0,0.0,0.0,0.2664127051830292,0.3699001967906952,0.36368706822395325,0.76171875,0.0,0.0,0.0,0.0,0.2664127051830292,0.3699001967906952,0.36368706822395325,,,,,,,,,,,,,,
mixed,always_typed,160,0.09407225996255875,0.09407225996255875,0.11465388350188732,0.951171875,0.951171875,160,57066,0.18173560500144958,39.17495274543762,0.0,0.0,0.0,0.0,0.0,0.2577624022960663,0.3760105073451996,0.36622709035873413,1.0,1.0,0.0,0.0,0.0,0.0,0.2577624022960663,0.3760104477405548,0.3662271201610565,1.0,0.0,0.0,0.0,0.0,0.2577624022960663,0.3760104477405548,0.3662271201610565,1.0,0.0,0.0,0.0,0.0,0.2577624022960663,0.3760104477405548,0.3662271201610565,0.8046875,0.0,0.0,0.0,0.0,0.2577624022960663,0.3760104477405548,0.3662271201610565,,,,,,,,,,,,,,
mixed,always_typed,200,0.11254149675369263,0.11254149675369263,0.1145388800650835,0.9482421875,0.951171875,160,57066,0.4362175166606903,49.14316439628601,0.0,0.0,0.0,0.0,0.0,0.25053951144218445,0.37887004017829895,0.3705904483795166,1.0,1.0,0.0,0.0,0.0,0.0,0.25053951144218445,0.37887004017829895,0.3705903887748718,1.0,0.0,0.0,0.0,0.0,0.25053951144218445,0.37887004017829895,0.3705903887748718,1.0,0.0,0.0,0.0,0.0,0.25053951144218445,0.37887004017829895,0.3705903887748718,0.79296875,0.0,0.0,0.0,0.0,0.25053951144218445,0.37887004017829895,0.3705903887748718,,,,,,,,,,,,,,
mixed,task_moe_utility,1,0.7324541211128235,0.6937645077705383,0.7191827297210693,0.509765625,0.509765625,1,70571,0.7269900441169739,0.7121062278747559,0.19998589158058167,0.5,0.9849346280097961,0.0020227895583957434,0.3734544515609741,0.2368679642677307,0.37002819776535034,0.39310383796691895,,0.5390625,0.244297057390213,0.2587805986404419,0.2982448637485504,0.19867749512195587,0.22100794315338135,0.39147382974624634,0.3875182271003723,0.5078125,0.2753523588180542,0.24143460392951965,0.28199079632759094,0.2012222707271576,0.24274665117263794,0.37767499685287476,0.3795783519744873,0.5234375,0.297516405582428,0.2190195620059967,0.31157276034355164,0.17189127206802368,0.258261501789093,0.3509562015533447,0.39078229665756226,0.46875,0.25036323070526123,0.2232034057378769,0.3518353998661041,0.17459793388843536,0.22525428235530853,0.3572637736797333,0.4174819588661194,0.2669542133808136,0.2363615483045578,0.3096683621406555,0.1870158612728119,0.320206880569458,0.9999907612800598,0.09278976917266846,0.09278953075408936,0.09278935194015503,0.09278992563486099,0.0,0.0,0.0,0.0
mixed,task_moe_utility,40,0.3459393382072449,0.3164677619934082,0.31125158071517944,0.8515625,0.8515625,40,70571,0.43138423562049866,10.126856327056885,0.1225680336356163,0.4808184802532196,0.5810444951057434,0.01714382693171501,0.43336090445518494,0.06703399121761322,0.5046013593673706,0.42836469411849976,,0.97265625,0.021057846024632454,0.2020566761493683,0.5387150645256042,0.23817041516304016,0.06474049389362335,0.3719407320022583,0.5633187890052795,0.9765625,0.004581451416015625,0.9652417898178101,0.012631647288799286,0.017545100301504135,0.05320701748132706,0.8789658546447754,0.06782718002796173,0.75,0.04078013449907303,0.11475121229887009,0.4425853490829468,0.4018833041191101,0.07854609936475754,0.35458940267562866,0.566864550113678,0.70703125,0.030948132276535034,0.07666142284870148,0.1986280232667923,0.693762481212616,0.07166369259357452,0.41407737135887146,0.5142589807510376,0.024334268644452095,0.338809609413147,0.29782000184059143,0.33903607726097107,0.32117462158203125,0.999923050403595,0.09042922407388687,0.08885998278856277,0.08902165293693542,0.08902201801538467,7.552681258182758e-10,1.050206055452918e-08,9.71643565605973e-09,1.024947415828592e-08
mixed,task_moe_utility,80,0.24648411571979523,0.21891216933727264,0.1857316568493843,0.9091796875,0.9091796875,80,70571,0.5098873376846313,19.648263692855835,0.12114512920379639,0.4576803743839264,0.42614078521728516,0.023653844371438026,0.3711804151535034,0.06097559630870819,0.5465759634971619,0.39244842529296875,,0.99609375,0.013993356376886368,0.45160752534866333,0.508007287979126,0.026391834020614624,0.05979534983634949,0.49592357873916626,0.4442811608314514,0.99609375,0.001221510930918157,0.9913107752799988,0.004428212530910969,0.0030394415371119976,0.05085505545139313,0.8943338990211487,0.054811060428619385,0.9140625,0.03154071792960167,0.23439615964889526,0.5167911052703857,0.21727201342582703,0.07207850366830826,0.3894016742706299,0.5385197997093201,0.73046875,0.016838952898979187,0.051182471215724945,0.06742455065250397,0.8645539879798889,0.06178727000951767,0.446911096572876,0.49130162596702576,0.015679417178034782,0.41831913590431213,0.2872661352157593,0.27873533964157104,0.31854966282844543,0.9996863603591919,0.0889827162027359,0.08429773896932602,0.08556292206048965,0.0843573585152626,1.926223847092956e-09,3.43459838347826e-08,2.650151920136068e-08,2.565417034361417e-08
mixed,task_moe_utility,120,0.1734849512577057,0.14697642624378204,0.12824058532714844,0.951171875,0.951171875,120,70571,0.2787916362285614,29.186615705490112,0.11695202440023422,0.43584513664245605,0.31791621446609497,0.02169257029891014,0.4107055962085724,0.056595951318740845,0.5368130803108215,0.4065909683704376,,0.99609375,0.019173596054315567,0.4022377133369446,0.5631114840507507,0.015477179549634457,0.06342151761054993,0.4553627371788025,0.4812157154083252,1.0,0.00136365566868335,0.991400420665741,0.0043140584602952,0.0029217994306236506,0.050954557955265045,0.89435875415802,0.05468672141432762,0.99609375,0.011493561789393425,0.23571866750717163,0.6458080410957336,0.10697975009679794,0.05804549157619476,0.35830825567245483,0.583646297454834,0.8125,0.004696952644735575,0.017194364219903946,0.026422971859574318,0.9516856670379639,0.053287871181964874,0.4481666386127472,0.49854546785354614,0.00942278653383255,0.40851354598999023,0.31240004301071167,0.26966363191604614,0.324537992477417,0.9987412691116333,0.08790121972560883,0.07971002906560898,0.08210439234972,0.08018285781145096,2.363280904305043e-09,5.377560441388596e-08,4.4145036071086e-08,3.868047571131683e-08
mixed,task_moe_utility,160,0.11748065054416656,0.09817469120025635,0.10032820142805576,0.9677734375,0.9677734375,160,70571,0.2041826993227005,38.56011152267456,0.05264420062303543,0.4189879894256592,0.3446294069290161,0.00958580244332552,0.37673500180244446,0.12019167840480804,0.5080868005752563,0.3717215359210968,,0.99609375,0.3721548914909363,0.30681052803993225,0.3103075623512268,0.010726996697485447,0.3105084300041199,0.3647182881832123,0.32477331161499023,0.99609375,0.003556637093424797,0.9929532408714294,0.0017599944258108735,0.001730143092572689,0.05248964577913284,0.8950561285018921,0.05245422571897507,0.99609375,0.012378839775919914,0.2269672453403473,0.7212756872177124,0.03937813639640808,0.058665186166763306,0.3314199149608612,0.6099148988723755,0.8828125,0.005092070437967777,0.020217448472976685,0.01660769432783127,0.9580827951431274,0.05356445163488388,0.45233333110809326,0.49410226941108704,0.10027381777763367,0.38327109813690186,0.26429787278175354,0.25215715169906616,0.3180723190307617,0.9979044795036316,0.08576811850070953,0.0754714161157608,0.07860652357339859,0.07624761760234833,5.808099334814187e-09,7.05141331991399e-08,5.759908461300256e-08,4.959067112508819e-08
mixed,task_moe_utility,200,0.12021640688180923,0.10272186994552612,0.12173218466341496,0.9453125,0.9677734375,160,70571,0.19708889722824097,47.94985342025757,0.041726358234882355,0.3989473581314087,0.31781384348869324,0.008748695254325867,0.3607635796070099,0.1337742805480957,0.5053437948226929,0.3608819544315338,,1.0,0.46017566323280334,0.2702794075012207,0.26584285497665405,0.003702023299410939,0.37212297320365906,0.33081138134002686,0.2970656156539917,0.99609375,0.0022281722631305456,0.9962316751480103,0.0009253620519302785,0.000614848337136209,0.05155972018837929,0.897246778011322,0.05119352042675018,1.0,0.005872462876141071,0.20086541771888733,0.7817089557647705,0.011553149670362473,0.054110728204250336,0.3038213849067688,0.6420679092407227,0.78515625,0.005905104335397482,0.042792029678821564,0.019527168944478035,0.931775689125061,0.054133571684360504,0.46133148670196533,0.48453494906425476,0.11967754364013672,0.3868749737739563,0.2562093734741211,0.2372381091117859,0.3241601884365082,0.9975642561912537,0.08000210672616959,0.07169411331415176,0.07540503889322281,0.07254470884799957,1.197086074711251e-08,8.450803790083228e-08,6.744278380210744e-08,5.855430629253533e-08
