step,loss,loss_policy,loss_shared,loss_adapter,loss_task,balance_loss,task_entropy,channel_entropy,connection_cost,survival_weight_mean,hunger_mean,death_events,reward_mean,energy_mean,energy_max,food_alive,births,deaths,contact_events,transfer_mean,shape_speed,shape_tool,shape_guard,shape_sense,wave_mean,bend_mean,speed_mean,stretch_error,segments,alive_edges,edge_density,struct_changed,adapter_abs,p_forage,p_avoid,p_pair,p_rest,w_graph,w_order,w_key,order_abs,key_entropy,sec
1,0.24035106599330902,0.17270705103874207,0.127931147813797,0.127931147813797,1.322664737701416,0.0,1.382574200630188,1.0960322618484497,0.4992770552635193,1.0,0.0,0,-0.00221368670463562,69.97785949707031,74.69998931884766,31,0,0,4,0.06558781862258911,0.2361440807580948,0.24593928456306458,0.24722006916999817,0.27069658041000366,0.5520205497741699,0.06038986146450043,0.5651595592498779,9.283734470955096e-06,7,683,0.16939484126984128,0,0.016230007633566856,0.26660090684890747,0.21972551941871643,0.27351313829421997,0.24016043543815613,0.3674667477607727,0.31614869832992554,0.316384494304657,0.0008273900602944195,0.9999997615814209,0.6339995861053467
20,0.07607606798410416,0.06391952931880951,0.04734779894351959,0.04734779894351959,0.09885601699352264,0.30248957872390747,9.489142030361108e-06,1.090883493423462,0.49057310819625854,1.0,0.0,0,-0.008441981859505177,68.60250854492188,75.53373718261719,29,0,0,6,0.039463795721530914,0.10967668890953064,0.43367087841033936,0.12531492114067078,0.33133751153945923,0.1849244236946106,0.2126350700855255,0.1991828978061676,9.067667633644305e-06,7,683,0.16939484126984128,0,0.02674596756696701,0.9999995231628418,9.568866232712026e-08,4.662147148337681e-07,2.268043353126359e-08,0.3789491057395935,0.2793087065219879,0.34174227714538574,0.0008489556494168937,0.9999995827674866,4.267071723937988
40,0.07244101911783218,0.06241670250892639,0.04623459279537201,0.04623459279537201,0.10692820698022842,0.17569831013679504,0.13083620369434357,1.091983675956726,0.48124486207962036,1.0,0.0,0,-0.00572891253978014,67.13784790039062,79.15269470214844,31,0,0,10,0.07244633138179779,0.11341039091348648,0.40824997425079346,0.1454942524433136,0.33284538984298706,0.19043192267417908,0.3018287122249603,0.20350952446460724,9.425295502296649e-06,7,683,0.16939484126984128,0,0.03759297356009483,0.9760257601737976,0.017937175929546356,0.0031399037688970566,0.0028972281143069267,0.37261050939559937,0.28193986415863037,0.34544962644577026,0.0008676573052071035,0.9999983906745911,7.9947350025177
60,0.0688653364777565,0.06554439663887024,0.04855140298604965,0.04855140298604965,0.010180773213505745,0.08314824104309082,0.261645644903183,1.0926016569137573,0.4718591272830963,1.0,0.0,0,-0.006842762231826782,65.81631469726562,83.90673828125,32,0,0,6,0.040495365858078,0.10081379115581512,0.40290576219558716,0.1600077897310257,0.336272656917572,0.1844710409641266,0.23611699044704437,0.1878647357225418,8.987262845039368e-06,7,683,0.16939484126984128,0,0.04479657858610153,0.9307922124862671,0.06728536635637283,0.0011922114063054323,0.0007301705190911889,0.3697684705257416,0.2840183973312378,0.3462130129337311,0.0008813297026790679,0.9999974370002747,11.963387966156006
80,0.06586216390132904,0.0626373142004013,0.046398013830184937,0.046398013830184937,0.0224539116024971,0.04734756425023079,0.33240506052970886,1.093173623085022,0.4625285267829895,1.0,0.0,0,-0.008327714167535305,64.27330017089844,90.19424438476562,32,0,0,5,0.0279338788241148,0.09874499589204788,0.4277803897857666,0.17447276413440704,0.2990018427371979,0.19341826438903809,0.2338816225528717,0.19838735461235046,8.799756869848352e-06,7,683,0.16939484126984128,0,0.05062919110059738,0.8996660709381104,0.0992249995470047,0.0009292676113545895,0.00017954692884813994,0.3724387288093567,0.28837305307388306,0.33918821811676025,0.0008992957882583141,0.9999975562095642,15.686519622802734
