step,loss,loss_policy,loss_shared,loss_adapter,loss_task,loss_contrast,reg_shared,reg_adapter,balance_loss,task_entropy,channel_entropy,connection_cost,survival_weight_mean,hunger_mean,death_events,reward_mean,energy_mean,energy_max,food_alive,births,deaths,contact_events,transfer_mean,drain_mean,shape_speed,shape_tool,shape_guard,shape_sense,wave_mean,bend_mean,speed_mean,stretch_error,segments,alive_edges,edge_density,struct_changed,adapter_abs,state_abs,p_forage,p_avoid,p_pair,p_rest,w_graph,w_order,w_key,order_abs,key_entropy,cpg_scale,sec
1,0.29264822602272034,0.2200426608324051,0.16299456357955933,0.16299456357955933,1.4171228408813477,-0.0,0.0009256780613213778,0.0009256780613213778,0.0,1.3860960006713867,1.0958096981048584,0.4992838501930237,1.3068181276321411,0.20454543828964233,0,-0.00810439046472311,69.91896057128906,73.7638168334961,31,0,0,4,0.07525672018527985,0.07525672018527985,0.2855919897556305,0.28275686502456665,0.24213425815105438,0.18951690196990967,0.4768235981464386,0.208143949508667,0.5686565637588501,8.959944352682214e-06,7,683,0.16939484126984128,0,0.01618032716214657,0.05008918419480324,0.2425633668899536,0.2484002262353897,0.2541946768760681,0.25484171509742737,0.36883866786956787,0.3175903260707855,0.313571035861969,0.0,0.9998699426651001,0.1973753273487091,0.7083559036254883
20,0.09352952241897583,0.07598458230495453,0.05628487467765808,0.05628487467765808,0.1333455592393875,0.1166117936372757,0.0006661674124188721,0.0006661674124188721,0.29943329095840454,0.002795035019516945,1.0885162353515625,0.4908798336982727,1.333390235900879,0.2222602218389511,0,-0.008970439434051514,68.35139465332031,75.70899963378906,30,0,0,4,0.036647338420152664,0.036647338420152664,0.08868522942066193,0.421470582485199,0.13935673236846924,0.3504874110221863,0.16078197956085205,0.30479541420936584,0.15401235222816467,9.497317478235345e-06,7,683,0.16939484126984128,0,0.025783080607652664,0.4061104953289032,0.9997211694717407,0.00019126562983728945,4.4358766899676993e-05,4.3188236304558814e-05,0.38778001070022583,0.2730059027671814,0.33921414613723755,0.06868581473827362,0.9761182069778442,0.2137727290391922,4.620399236679077
40,0.0868733674287796,0.0761159211397171,0.05638216435909271,0.05638216435909271,0.11712629348039627,0.07587427645921707,0.0006685548578388989,0.0006685548578388989,0.06199647858738899,0.30100908875465393,1.089684009552002,0.48198074102401733,1.363006353378296,0.24200424551963806,0,-0.009862747974693775,66.60499572753906,74.40251922607422,31,0,0,8,0.061862312257289886,0.061862312257289886,0.11707194894552231,0.4029073715209961,0.1511872112751007,0.3288334608078003,0.2166425585746765,0.35080426931381226,0.23074236512184143,9.322228834207635e-06,7,683,0.16939484126984128,0,0.03483697772026062,0.4547441601753235,0.9232114553451538,0.06915421783924103,0.003908225335180759,0.0037260856479406357,0.38895130157470703,0.27997326850891113,0.33107542991638184,0.07576926797628403,0.9949268698692322,0.21544699370861053,8.713600158691406
60,0.09420676529407501,0.07843608409166336,0.058100804686546326,0.058100804686546326,0.15738137066364288,0.17479294538497925,0.0006495554116554558,0.0006495554116554558,0.06536684930324554,0.2943305969238281,1.0874782800674438,0.47315338253974915,1.3941694498062134,0.2627796530723572,0,-0.009850663132965565,64.77688598632812,74.0085678100586,31,0,0,12,0.07666759192943573,0.07666759192943573,0.08283739537000656,0.4108627438545227,0.15727412700653076,0.3490257263183594,0.16630643606185913,0.24490883946418762,0.16163836419582367,9.207366019836627e-06,7,683,0.16939484126984128,0,0.04052513837814331,0.4615187644958496,0.9285506010055542,0.06100359559059143,0.005437621846795082,0.005008128471672535,0.39342427253723145,0.2720494568347931,0.33452633023262024,0.05687855929136276,0.9856480360031128,0.21616019308567047,12.909491300582886
80,0.10960434377193451,0.08943397551774979,0.06624738872051239,0.06624738872051239,0.22120922803878784,0.23419956862926483,0.000686085841152817,0.000686085841152817,0.03464119881391525,0.3638785481452942,1.0882524251937866,0.4644377827644348,1.4439793825149536,0.28556957840919495,0,-0.009984597563743591,62.77002716064453,75.16388702392578,31,0,0,12,0.0719110444188118,0.0719110518693924,0.08248961716890335,0.4251185953617096,0.16208714246749878,0.3303046226501465,0.18531540036201477,0.28945213556289673,0.17703598737716675,9.323470294475555e-06,7,683,0.16939484126984128,0,0.04660952836275101,0.4652162492275238,0.8934745788574219,0.10123808681964874,0.002782184863463044,0.0025051767006516457,0.3929383456707001,0.27559399604797363,0.3314676880836487,0.05292781814932823,0.9865525364875793,0.2147095948457718,16.943286418914795
