task,model,step,train_loss,train_ce,expected_cost,entropy_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,w_graph,w_order,w_key,router_entropy,acc_program,w_graph_program,w_order_program,w_key_program,order_abs,key_entropy
program,always_typed,1,0.7407843470573425,0.7407843470573425,0.0,0.0,0.790795773267746,0.48828125,0.48828125,1,57066,2.34940767288208,0.9103264808654785,0.33244505524635315,0.3337774872779846,0.3337774872779846,1.0,0.48828125,0.33244505524635315,0.3337774872779846,0.3337774872779846,,
program,always_typed,60,0.5018306374549866,0.5018306374549866,0.0,0.0,0.4857330173254013,0.7587890625,0.7587890625,60,57066,0.6661191582679749,15.266359806060791,0.31075459718704224,0.33096396923065186,0.3582814931869507,1.0,0.7587890625,0.31075459718704224,0.33096396923065186,0.3582814931869507,,
program,always_typed,120,0.3981858491897583,0.3981858491897583,0.0,0.0,0.3932851105928421,0.8125,0.8125,120,57066,0.6620115041732788,29.915912628173828,0.296438068151474,0.3372449278831482,0.3663170635700226,1.0,0.8125,0.296438068151474,0.3372449278831482,0.3663170635700226,,
program,always_typed,180,0.38455429673194885,0.38455429673194885,0.0,0.0,0.35573824495077133,0.81640625,0.81640625,180,57066,0.6161271333694458,44.04035973548889,0.288979709148407,0.3380219638347626,0.37299829721450806,1.0,0.81640625,0.288979709148407,0.3380219638347626,0.37299829721450806,,
program,cost_router,1,0.7096569538116455,0.6935052871704102,0.3113635182380676,0.9924389123916626,0.7002571672201157,0.5009765625,0.5009765625,1,61322,1.4932843446731567,0.5791535377502441,0.27452340722084045,0.29813462495803833,0.42734193801879883,0.9805211424827576,0.5009765625,0.274863064289093,0.2973743975162506,0.42776253819465637,0.40578579902648926,0.9999763369560242
program,cost_router,60,0.47529366612434387,0.46795549988746643,0.350374698638916,0.03306887298822403,0.5223721712827682,0.74609375,0.74609375,60,61322,0.1934216320514679,14.87995171546936,0.001419754233211279,0.004155317787081003,0.9944249391555786,0.03398304805159569,0.74609375,0.0014071568148210645,0.004114330746233463,0.9944784641265869,0.4069446325302124,0.9996889233589172
program,cost_router,120,0.4327537715435028,0.4185420274734497,0.4117981195449829,0.5975777506828308,0.4671250134706497,0.7919921875,0.7919921875,120,61322,0.9024100303649902,29.608701705932617,0.005900002084672451,0.3181263208389282,0.675973653793335,0.5974345207214355,0.7919921875,0.005833766423165798,0.3169839680194855,0.6771822571754456,0.40464991331100464,0.9979090094566345
program,cost_router,180,0.33991941809654236,0.32645726203918457,0.40140724182128906,0.5434015989303589,0.39310064911842346,0.8212890625,0.8212890625,180,61322,0.250524640083313,44.59136247634888,0.0035710257943719625,0.25739118456840515,0.739037811756134,0.5381040573120117,0.8212890625,0.0035764724016189575,0.2570047378540039,0.7394187450408936,0.40692177414894104,0.9956137537956238
