task,variant,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,chem_scale,gap_scale,mod_scale
route,none,120,0.6936389803886414,0.6935532987117767,0.4990234375,0.5087890625,1,19971,0.29311424493789673,23.751291513442993,0.0,0.0,,,
route,fixed_random,120,0.3465447723865509,0.48013491183519363,0.7783203125,0.7822265625,90,19971,0.9067074060440063,23.369516372680664,0.1857638955116272,0.503067672252655,,,
route,learned_dense,120,0.5754731893539429,0.5645488053560257,0.73046875,0.73046875,120,22275,10.465947151184082,24.450751304626465,0.9791666865348816,0.9931095838546753,,,
route,learned_sparse,120,0.37979385256767273,0.4227980822324753,0.7431640625,0.771484375,90,22275,2.747664213180542,24.19326090812683,0.1857638955116272,0.5486484169960022,,,
route,chem_gap,120,0.39290615916252136,0.4142330139875412,0.771484375,0.771484375,120,24582,0.9700626134872437,40.24792146682739,0.9791666865348816,0.9932926297187805,0.7600226402282715,0.25152701139450073,0.33753252029418945
order,none,120,0.6940150260925293,0.6940480619668961,0.50390625,0.517578125,30,19971,0.43536725640296936,23.578664541244507,0.0,0.0,,,
order,fixed_random,120,0.6934249401092529,0.6939715892076492,0.4873046875,0.51171875,30,19971,0.2392786294221878,23.377739667892456,0.1857638955116272,0.5016462802886963,,,
order,learned_dense,120,0.6923255920410156,0.6934911757707596,0.5029296875,0.5029296875,90,22275,0.09025783836841583,24.722431898117065,0.9791666865348816,0.9945039749145508,,,
order,learned_sparse,120,0.6920333504676819,0.698872834444046,0.4931640625,0.5029296875,30,22275,0.5023515820503235,25.877037048339844,0.1857638955116272,0.5489045977592468,,,
order,chem_gap,120,0.6922779083251953,0.6943415552377701,0.509765625,0.51171875,30,24582,0.004609241150319576,40.05316209793091,0.9791666865348816,0.9944748878479004,0.760357141494751,0.13872608542442322,0.22894464433193207
kv,none,120,0.7227191925048828,0.7010444700717926,0.5029296875,0.5302734375,1,19971,3.0266716480255127,22.95250368118286,0.0,0.0,,,
kv,fixed_random,120,0.5694205164909363,0.600555881857872,0.6708984375,0.6708984375,120,19971,2.0079240798950195,23.64440131187439,0.1857638955116272,0.4974900782108307,,,
kv,learned_dense,120,0.6063220500946045,0.606343150138855,0.673828125,0.673828125,120,22275,1.7157412767410278,24.96910858154297,0.9791666865348816,0.9932587146759033,,,
kv,learned_sparse,120,0.580680251121521,0.5663956999778748,0.6796875,0.6796875,120,22275,0.5807012915611267,25.451537132263184,0.1857638955116272,0.548508882522583,,,
kv,chem_gap,120,0.8717116713523865,0.6933503448963165,0.5849609375,0.5849609375,120,24582,15.419639587402344,41.26985955238342,0.9791666865348816,0.9937564730644226,0.7372066974639893,0.2633252739906311,0.3145550489425659
