task,variant,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,chem_scale,gap_scale,mod_scale
route,none,1,1.1029415130615234,0.6930081099271774,0.5087890625,0.5087890625,1,19971,29.32978057861328,0.7051630020141602,0.0,0.0,,,
route,none,30,0.7039155960083008,0.693791851401329,0.4921875,0.5087890625,1,19971,1.5022813081741333,6.2926247119903564,0.0,0.0,,,
route,none,60,0.6920023560523987,0.7006852179765701,0.49609375,0.5087890625,1,19971,0.19928500056266785,12.257956504821777,0.0,0.0,,,
route,none,90,0.6930848956108093,0.6993083506822586,0.470703125,0.5087890625,1,19971,0.483786940574646,18.12591791152954,0.0,0.0,,,
route,none,120,0.6936389803886414,0.6935532987117767,0.4990234375,0.5087890625,1,19971,0.29311424493789673,23.751291513442993,0.0,0.0,,,
route,fixed_random,1,0.7447442412376404,1.5561010241508484,0.48046875,0.48046875,1,19971,14.761391639709473,0.4120664596557617,0.1857638955116272,0.503067672252655,,,
route,fixed_random,30,0.6990260481834412,0.6950132846832275,0.474609375,0.48046875,1,19971,1.1566330194473267,5.916775465011597,0.1857638955116272,0.503067672252655,,,
route,fixed_random,60,0.6855544447898865,0.6912835985422134,0.5205078125,0.5205078125,60,19971,0.4333086907863617,11.572436809539795,0.1857638955116272,0.503067672252655,,,
route,fixed_random,90,0.4761229455471039,0.44197820872068405,0.7822265625,0.7822265625,90,19971,1.2592229843139648,17.24180030822754,0.1857638955116272,0.503067672252655,,,
route,fixed_random,120,0.3465447723865509,0.48013491183519363,0.7783203125,0.7822265625,90,19971,0.9067074060440063,23.369516372680664,0.1857638955116272,0.503067672252655,,,
route,learned_dense,1,0.7175795435905457,0.899023100733757,0.4951171875,0.4951171875,1,22275,4.287292957305908,0.5275442600250244,0.9791666865348816,0.9945102334022522,,,
route,learned_dense,30,0.704601526260376,0.6953934729099274,0.5078125,0.5078125,30,22275,1.5968046188354492,6.282878875732422,0.9791666865348816,0.9944998025894165,,,
route,learned_dense,60,0.7080127596855164,0.6961625218391418,0.4951171875,0.5078125,30,22275,1.9179714918136597,12.341917753219604,0.9791666865348816,0.9944195747375488,,,
route,learned_dense,90,0.6917147636413574,0.7164297848939896,0.49609375,0.5078125,30,22275,1.4206527471542358,18.422813653945923,0.9791666865348816,0.9940086007118225,,,
route,learned_dense,120,0.5754731893539429,0.5645488053560257,0.73046875,0.73046875,120,22275,10.465947151184082,24.450751304626465,0.9791666865348816,0.9931095838546753,,,
route,learned_sparse,1,1.0711673498153687,0.9157063364982605,0.4853515625,0.4853515625,1,22275,21.302621841430664,0.4221303462982178,0.1857638955116272,0.5489104986190796,,,
route,learned_sparse,30,0.6924841403961182,0.693263590335846,0.5,0.5,30,22275,0.39482739567756653,6.237104177474976,0.1857638955116272,0.5489069819450378,,,
route,learned_sparse,60,0.6870589852333069,0.6862101256847382,0.4951171875,0.5,30,22275,0.20353567600250244,12.374745607376099,0.1857638955116272,0.5488846898078918,,,
route,learned_sparse,90,0.5651499629020691,0.5350863635540009,0.771484375,0.771484375,90,22275,9.152737617492676,18.288495302200317,0.1857638955116272,0.5487503409385681,,,
route,learned_sparse,120,0.37979385256767273,0.4227980822324753,0.7431640625,0.771484375,90,22275,2.747664213180542,24.19326090812683,0.1857638955116272,0.5486484169960022,,,
route,chem_gap,1,0.6918595433235168,0.9961224347352982,0.4775390625,0.4775390625,1,24582,0.08083423227071762,0.6757359504699707,0.9791666865348816,0.9945116639137268,0.7607528567314148,0.14692936837673187,0.24303767085075378
route,chem_gap,30,0.6913619637489319,0.6929184347391129,0.513671875,0.513671875,30,24582,0.3321928083896637,10.29481554031372,0.9791666865348816,0.9944936633110046,0.7588646411895752,0.13828058540821075,0.24055929481983185
